token,description,instrument_type_code,lot_size,tick_size,isin,trading_session,last_update_date,expiry_epoch,fyers_symbol,exchange,segment,exchange_token,underlying_symbol,underlying_token,strike_price,option_type,unique_identifier,reserved_1,reserved_2,reserved_3,underlying,expiry_date,instrument_family,is_expired,days_to_expiry,expiry_bucket,expiry_rank
101126072861095,360ONE 28 Jul 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:360ONE26JULFUT,10,11,61095,360ONE,13061,-1.0,XX,101000000013061,,0,0.0,360ONE,2026-07-28,FUTURE,False,12,NEAR,1
101126082558074,360ONE 25 Aug 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:360ONE26AUGFUT,10,11,58074,360ONE,13061,-1.0,XX,101000000013061,,0,0.0,360ONE,2026-08-25,FUTURE,False,40,NEXT,2
101126092968413,360ONE 29 Sep 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:360ONE26SEPFUT,10,11,68413,360ONE,13061,-1.0,XX,101000000013061,,0,0.0,360ONE,2026-09-29,FUTURE,False,75,FAR,3
101126072861096,ABB 28 Jul 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:ABB26JULFUT,10,11,61096,ABB,13,-1.0,XX,101000000013,,0,0.0,ABB,2026-07-28,FUTURE,False,12,NEAR,1
101126082558075,ABB 25 Aug 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:ABB26AUGFUT,10,11,58075,ABB,13,-1.0,XX,101000000013,,0,0.0,ABB,2026-08-25,FUTURE,False,40,NEXT,2
101126092968414,ABB 29 Sep 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:ABB26SEPFUT,10,11,68414,ABB,13,-1.0,XX,101000000013,,0,0.0,ABB,2026-09-29,FUTURE,False,75,FAR,3
101126072861097,ABCAPITAL 28 Jul 26 FUT,13,3100,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:ABCAPITAL26JULFUT,10,11,61097,ABCAPITAL,21614,-1.0,XX,101000000021614,,0,0.0,ABCAPITAL,2026-07-28,FUTURE,False,12,NEAR,1
101126082558086,ABCAPITAL 25 Aug 26 FUT,13,3100,0.05,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:ABCAPITAL26AUGFUT,10,11,58086,ABCAPITAL,21614,-1.0,XX,101000000021614,,0,0.0,ABCAPITAL,2026-08-25,FUTURE,False,40,NEXT,2
101126092968415,ABCAPITAL 29 Sep 26 FUT,13,3100,0.05,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:ABCAPITAL26SEPFUT,10,11,68415,ABCAPITAL,21614,-1.0,XX,101000000021614,,0,0.0,ABCAPITAL,2026-09-29,FUTURE,False,75,FAR,3
101126072861098,ADANIENSOL 28 Jul 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:ADANIENSOL26JULFUT,10,11,61098,ADANIENSOL,10217,-1.0,XX,101000000010217,,0,0.0,ADANIENSOL,2026-07-28,FUTURE,False,12,NEAR,1
