trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-06-18,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,30.0,31.5,28.5,31.5,7006229,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-19,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,32.7,33.05,31.0,32.6,2895692,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-20,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,31.5,32.2,31.0,31.0,1115553,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-21,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,29.45,30.0,29.45,29.65,2854524,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-22,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,28.2,29.8,28.2,29.45,1612972,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-25,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,30.0,30.0,28.5,28.95,365859,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-26,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,28.8,29.4,27.55,28.8,493868,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-27,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,28.3,28.3,27.4,27.4,133412,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-06-28,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,26.05,26.05,26.05,26.05,61587,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-02,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,27.2,27.25,22.8,25.2,1369795,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-03,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,26.95,26.95,24.5,26.35,519628,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-04,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,26.0,29.95,25.8,29.6,1033451,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-05,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,29.8,31.95,28.6,29.8,1546192,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-06,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,29.0,30.9,28.85,30.35,523472,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-09,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,30.45,31.4,29.55,30.95,616718,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-10,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,30.55,31.85,30.25,31.1,492511,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-11,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,31.05,33.4,30.6,31.95,1610144,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-12,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,31.8,32.9,30.95,31.1,524503,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-13,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,32.5,32.7,31.2,31.45,770830,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-16,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,32.4,32.4,30.85,31.1,696778,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-17,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,31.65,31.85,30.95,31.45,557931,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-18,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,31.5,31.75,29.55,29.75,497514,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-19,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,29.8,30.4,28.1,29.7,469529,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-20,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,29.95,35.6,29.5,35.4,5891772,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-23,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,37.9,42.45,37.1,42.45,2766587,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-24,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,45.85,46.65,45.0,46.65,1510186,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-25,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,50.7,51.3,47.1,51.3,868232,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-26,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,55.8,56.4,48.0,52.9,6847468,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-27,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,54.5,54.8,51.15,52.35,1425686,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-30,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,52.8,57.55,52.8,57.55,2011508,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-07-31,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,60.4,60.4,58.6,60.4,3461295,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-01,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,62.7,63.4,62.3,63.4,1023345,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-02,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,66.55,66.55,66.55,66.55,162902,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-03,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,69.85,69.85,69.85,69.85,116347,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-06,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,73.3,73.3,73.3,73.3,66210,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-07,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,71.3,73.0,69.65,69.65,1031500,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-08,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,66.2,66.2,66.2,66.2,71603,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-09,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,62.9,62.9,62.9,62.9,130477,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-10,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,61.55,66.0,60.1,66.0,3789655,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-13,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,62.7,62.7,62.7,62.7,262033,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-14,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,59.6,59.6,59.6,59.6,117253,FYERS_HISTORY,2026-08-08T22:58:59+05:30
2018-08-16,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,56.65,56.65,56.65,56.65,82087,FYERS_HISTORY,2026-08-08T22:58:59+05:30
