trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-08-20,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,21.6,22.0,19.66,20.02,821641280,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-21,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,19.98,20.78,19.6,20.63,168589210,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-24,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.78,20.88,20.31,20.62,68326410,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-25,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.5,20.63,20.2,20.55,58601335,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-26,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.6,21.5,20.57,21.02,85794190,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-27,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.99,21.36,20.75,20.95,37614795,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-28,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.98,21.14,20.76,20.93,22830910,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-08-31,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.55,20.94,20.51,20.64,26594260,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-01,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.65,20.86,20.08,20.2,21715045,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-02,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.06,20.53,20.02,20.29,31429665,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-03,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.4,20.46,19.95,20.02,8390690,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-04,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.05,20.15,19.46,19.73,16813920,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-07,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,19.96,20.23,19.82,20.18,14223935,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-08,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.21,20.52,20.03,20.25,14043540,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-09,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,19.82,20.9,19.82,20.64,31496365,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-10,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.87,20.99,20.38,20.48,26765390,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-11,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.63,20.7,20.36,20.65,11086175,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-14,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.56,20.62,20.25,20.36,9163590,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-15,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.42,20.47,20.26,20.31,8464210,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-16,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.35,20.52,20.11,20.19,16399780,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-17,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.32,20.38,20.04,20.18,7888795,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-18,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.22,20.29,20.04,20.19,8219735,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-22,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.2,20.36,20.0,20.29,7572905,FYERS_HISTORY,2026-08-08T22:59:28+05:30
2009-09-23,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,20.3,20.4,20.08,20.27,14320305,FYERS_HISTORY,2026-08-08T22:59:28+05:30
