trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,874.0,886.75,873.7,885.3,3969985,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,889.0,893.6,882.4,891.9,4446791,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,888.0,895.5,874.6,876.65,4212648,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-07,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,871.0,882.0,867.25,879.1,5998002,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,877.0,888.3,876.0,877.15,3736916,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,877.15,888.3,872.75,877.8,5367926,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,877.2,884.9,851.5,853.0,8257312,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,854.55,864.0,849.0,860.0,10117225,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-14,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,860.0,866.9,855.45,861.45,5379250,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,875.0,919.65,875.0,905.2,16277779,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,905.95,909.9,890.5,902.3,5764382,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,900.55,902.0,886.05,887.8,5561646,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-21,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,888.0,901.3,884.0,895.6,6697533,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-22,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,895.0,903.9,892.0,894.5,6424895,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-25,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,902.1,908.0,898.15,900.8,5837876,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-26,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,899.95,901.9,873.5,876.25,6712926,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,870.2,884.5,869.7,876.85,8349342,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-08-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,870.85,888.0,870.85,877.85,5672446,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,877.85,894.8,877.85,889.35,4101526,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,895.0,899.55,886.15,890.1,6103185,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,892.7,898.85,880.05,896.3,5493809,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,915.0,948.0,912.25,934.75,21738706,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,942.0,942.35,932.0,937.6,5467260,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,937.6,949.65,935.65,944.3,5657331,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,944.0,949.4,940.0,948.4,5417393,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,951.05,969.65,947.7,967.95,6836239,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,968.0,975.9,965.6,970.25,5982627,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,972.25,1004.6,970.85,1003.25,11412561,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-15,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,999.0,1025.7,998.1,1009.85,9989753,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1005.85,1015.3,1000.0,1003.25,7602155,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1010.0,1011.8,1000.35,1007.5,6995023,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1007.0,1009.8,990.0,996.5,9738376,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,991.0,996.0,988.6,992.45,6736440,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-22,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,989.95,1010.9,989.0,1006.5,4250045,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-23,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,999.0,1028.8,999.0,1025.5,10230040,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-24,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1021.5,1036.0,1020.4,1029.75,6433184,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-25,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1020.0,1031.1,1008.0,1012.75,16731453,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-26,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1008.05,1010.5,981.05,985.1,9109737,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,990.0,997.8,981.1,990.95,5804877,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-09-30,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,990.0,1002.3,989.45,998.9,7182200,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,991.5,1000.0,977.75,987.7,6932272,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,975.0,992.2,972.0,989.75,7692197,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,993.0,1023.0,992.1,1008.9,9299635,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-07,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1008.9,1029.5,1008.9,1016.55,7991437,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1012.05,1028.0,1012.05,1023.15,4448915,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1023.0,1029.0,1014.95,1024.1,4444154,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1018.1,1027.5,1017.0,1023.85,3714548,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1023.85,1040.0,1021.5,1036.75,7684523,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-14,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1040.0,1042.1,1011.35,1019.15,7668358,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-15,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1026.0,1063.0,1018.4,1059.9,10205158,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1062.0,1081.1,1058.85,1065.75,9901992,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1056.1,1076.45,1056.1,1070.1,5761670,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1081.5,1086.5,1072.2,1081.0,5700858,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-21,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1084.9,1089.0,1081.0,1086.5,911624,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-23,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1090.0,1102.5,1083.9,1094.15,11143407,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-24,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1093.5,1098.6,1087.4,1089.75,6440277,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-27,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1090.95,1094.0,1075.75,1084.4,7366175,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1078.0,1092.4,1063.05,1072.75,12324341,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1072.0,1079.15,1061.25,1062.95,5386803,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-30,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1063.0,1066.8,1045.0,1052.3,4271927,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-10-31,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1052.0,1069.45,1041.4,1042.8,5315632,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1037.0,1048.0,1031.0,1043.1,4135617,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1040.0,1060.4,1035.0,1057.0,6202540,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1037.0,1052.8,1035.0,1041.9,5776277,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-07,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1039.0,1076.9,1034.2,1066.6,6940923,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1066.6,1088.0,1062.9,1085.0,5692236,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1043.7,1043.7,997.0,1005.2,23762890,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1011.0,1018.4,1008.8,1013.2,11131278,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1012.5,1019.4,1003.5,1005.4,8503994,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-14,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1004.9,1019.9,1002.6,1018.5,4381122,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1021.0,1033.0,1017.0,1026.8,6011603,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1021.2,1024.1,1011.7,1013.6,4562185,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1009.0,1016.1,1004.6,1005.6,5158832,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1015.0,1031.7,1007.3,1028.6,5459073,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-21,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1020.0,1027.6,1001.5,1004.1,6304584,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-24,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1005.0,1009.3,990.0,994.0,9574900,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-25,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,995.0,996.9,984.5,986.2,6376983,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-26,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,986.2,1012.8,981.3,1010.7,9772235,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-27,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1015.6,1044.9,1010.9,1033.8,12076038,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-11-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1038.0,1043.5,1031.0,1037.5,4983147,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1041.9,1042.0,1018.8,1021.1,6459837,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1014.5,1036.0,1013.9,1025.5,6706145,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1021.0,1026.3,1014.2,1021.4,5895670,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1018.0,1032.3,1016.0,1029.1,5404918,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1028.9,1061.0,1026.5,1048.0,13123572,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1048.0,1049.8,1023.0,1026.4,5189635,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1025.0,1026.0,1013.7,1016.7,5968501,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1016.0,1021.7,1007.3,1010.3,4990527,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1011.9,1020.5,1000.1,1006.4,4670539,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1000.0,1020.8,1000.0,1017.3,4381711,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-15,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1015.0,1016.5,1008.0,1012.7,3958977,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1007.5,1010.6,996.5,998.4,3861617,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1000.0,1011.2,995.3,999.6,4695550,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1002.1,1009.7,995.0,1000.3,3103997,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1003.2,1014.0,1002.5,1008.3,5126009,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-22,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1008.3,1015.4,1005.0,1007.8,3921237,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-23,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1013.5,1018.0,1005.7,1011.4,4712043,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-24,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1011.0,1037.4,1006.0,1011.7,5984816,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-26,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1011.7,1011.7,998.0,1000.0,5211460,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1003.0,1003.9,989.6,998.0,6715489,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-30,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,994.1,997.6,987.1,989.3,7473887,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2025-12-31,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,990.0,994.2,978.4,986.8,9895270,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,988.2,989.0,969.0,973.1,7118751,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,972.9,994.2,960.6,990.45,6206869,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,979.7,999.15,975.0,978.75,10564157,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,978.0,987.0,973.3,977.35,8380183,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-07,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,973.05,976.45,965.05,968.8,7048491,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,968.5,978.35,965.3,971.95,4410256,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,970.1,983.0,953.7,959.6,7598970,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,958.8,961.4,939.85,951.9,5640136,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,950.0,955.85,939.0,949.0,6765116,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-14,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,947.0,953.9,943.15,945.95,4452202,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,940.2,963.0,936.8,950.25,10710080,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,950.5,972.9,948.85,969.45,7000442,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,975.7,975.7,927.9,933.2,9001207,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-21,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,925.0,947.3,921.0,936.25,5375254,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-22,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,947.0,947.0,934.25,942.85,5518756,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-23,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,942.85,951.4,926.3,927.85,6535035,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-27,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,930.0,931.95,907.7,914.7,15312488,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,914.7,936.9,914.7,935.15,6046468,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,935.15,939.8,923.7,935.15,6430445,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-01-30,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,928.35,938.0,925.15,929.85,10151379,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,930.8,935.0,888.55,902.35,3830308,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,887.0,909.4,887.0,903.7,11874989,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,960.0,972.8,941.9,964.4,15261370,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,965.0,975.7,944.15,963.3,17489015,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,964.0,968.5,953.0,964.75,6020258,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,973.95,986.5,966.1,981.7,13742927,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,988.0,988.0,971.6,983.15,4852548,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,983.15,985.15,961.3,965.6,6166752,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,965.3,974.5,961.4,968.95,3597342,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,968.3,1002.0,965.0,999.1,10346853,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,995.0,1032.0,992.8,1024.75,21613987,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1023.05,1029.3,1003.3,1012.75,4460636,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1012.75,1016.35,1004.0,1014.15,2913899,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1014.55,1025.7,1007.05,1023.8,4929647,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1024.0,1024.5,1007.0,1017.05,9866245,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1015.9,1036.6,1008.75,1030.2,6922705,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-23,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1032.45,1046.0,1029.05,1031.0,9452225,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-24,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1026.3,1028.75,1010.3,1023.55,6610984,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-25,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1028.0,1034.0,1013.4,1021.05,3182612,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-26,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1020.75,1031.2,1006.05,1012.95,4336261,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-02-27,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,1008.95,1014.9,993.1,995.9,8145772,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,971.0,990.4,968.0,978.25,8493269,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,967.0,967.0,941.3,945.1,8964293,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,958.0,968.25,945.9,962.4,6181254,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,960.0,961.5,946.6,950.2,6560051,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,921.8,941.1,909.05,938.05,9182152,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,950.0,952.15,931.85,939.8,8474956,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,932.2,941.25,890.0,893.65,11172537,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,880.1,888.2,858.35,863.1,15508258,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,861.0,868.35,848.8,855.05,6668639,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,850.1,881.9,850.1,878.15,8982957,FYERS_HISTORY,2026-08-04T21:47:41+05:30
2026-03-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,878.15,881.05,859.55,868.6,7941385,FYERS_HISTORY,2026-08-04T21:47:41+05:30
