trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40150.0,41280.0,40035.0,41115.0,66056,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-05,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41145.0,41290.0,39445.0,40595.0,114355,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-06,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40500.0,40555.0,38150.0,38255.0,103119,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-07,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,38225.0,38750.0,37900.0,38570.0,54977,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-08,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,38570.0,39150.0,38220.0,38325.0,32516,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-11,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,38540.0,39080.0,38320.0,38710.0,31256,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-12,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39000.0,39010.0,38540.0,38610.0,20383,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-13,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,38795.0,38910.0,38510.0,38660.0,13806,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-14,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,38880.0,38950.0,38430.0,38585.0,23267,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-18,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39000.0,39895.0,38870.0,39335.0,28210,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-19,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39495.0,40245.0,39365.0,39860.0,25516,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-20,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39920.0,40280.0,39830.0,39935.0,18625,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-21,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40075.0,40105.0,39360.0,39475.0,21473,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-22,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39725.0,39780.0,39165.0,39325.0,14967,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-25,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39325.0,39535.0,38950.0,39085.0,33832,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-26,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39200.0,39655.0,38800.0,39510.0,32640,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-28,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39700.0,39960.0,39070.0,39225.0,33810,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-08-29,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39455.0,40350.0,39060.0,39960.0,46252,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-01,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40220.0,40950.0,40010.0,40785.0,45616,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-02,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40900.0,41575.0,40675.0,41315.0,38339,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-03,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41500.0,41835.0,41000.0,41100.0,31045,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-04,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41660.0,41660.0,40540.0,40740.0,27591,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-05,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41075.0,41095.0,40755.0,40910.0,16404,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-08,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41100.0,41760.0,41000.0,41355.0,16171,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-09,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41450.0,41640.0,41095.0,41495.0,25999,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-10,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41700.0,41945.0,40955.0,41005.0,29476,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-11,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,41190.0,41200.0,40400.0,40655.0,24790,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-12,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40780.0,40890.0,39790.0,39885.0,24810,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-15,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40040.0,40040.0,39260.0,39445.0,21503,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-16,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39605.0,40050.0,39595.0,39920.0,34458,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-17,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,39995.0,40190.0,39725.0,39775.0,29814,FYERS_HISTORY,2026-08-04T21:47:47+05:30
2025-09-18,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,40000.0,40060.0,39780.0,39885.0,19976,FYERS_HISTORY,2026-08-04T21:47:47+05:30
