trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5527.5,5670.0,5520.0,5621.0,505407,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-05,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5625.0,5690.0,5584.5,5681.0,458305,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-06,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5684.5,5712.5,5651.0,5668.0,202535,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-07,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5660.0,5694.5,5588.0,5681.5,266900,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-08,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5681.5,5711.5,5655.5,5663.0,373874,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-11,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5677.0,5708.5,5652.5,5671.5,475811,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-12,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5679.5,5694.0,5643.0,5658.0,429572,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-13,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5658.0,5757.5,5648.5,5714.5,427562,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-14,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5710.0,5785.5,5710.0,5764.0,415010,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-18,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5880.0,6024.5,5825.5,5912.0,1288582,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-19,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5918.0,5995.0,5891.5,5938.5,843617,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-20,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5964.0,5969.5,5905.0,5937.5,510626,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-21,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5990.0,5992.5,5898.0,5975.0,499089,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-22,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5970.0,5973.0,5913.5,5924.5,273421,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-25,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5945.0,6009.0,5880.0,5990.5,822944,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-26,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,5980.0,6210.0,5960.0,6151.0,1474805,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-28,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,6269.5,6269.5,6121.0,6133.0,719052,FYERS_HISTORY,2026-08-04T21:48:00+05:30
2025-08-29,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,6149.0,6174.5,6070.0,6103.0,496302,FYERS_HISTORY,2026-08-04T21:48:00+05:30
