trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3150.0,3293.83,3120.5,3291.5,3160527,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-06,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3306.0,3620.5,3300.0,3618.17,4219971,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-07,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3706.67,3814.67,3276.83,3332.83,3088227,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-08,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3368.5,3483.33,3256.67,3316.5,1913733,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-11,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3411.67,3413.67,3270.33,3280.17,516294,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-12,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3286.67,3320.0,3188.5,3210.0,525570,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-13,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3242.33,3388.33,3207.17,3349.0,984291,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-14,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3373.33,3425.5,3315.83,3394.17,599547,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-18,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3390.0,3394.0,3179.67,3217.0,1104915,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-19,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3266.67,3328.33,3225.67,3268.5,841518,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-20,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3283.5,3816.67,3278.5,3688.0,6988089,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-21,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3688.0,3821.67,3592.33,3713.0,2794167,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-22,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3689.5,3722.67,3506.83,3522.0,1400091,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-25,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3532.5,3653.0,3456.67,3627.33,1628409,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-26,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3616.67,3618.33,3495.0,3508.17,766398,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-28,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3541.67,3723.17,3468.33,3531.33,2681295,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-08-29,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3566.33,3800.0,3508.5,3667.83,4168872,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-01,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3695.67,3708.33,3500.33,3523.67,1563897,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-02,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3583.33,3587.67,3333.33,3353.33,2186973,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-03,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3355.0,3473.33,3343.67,3396.33,1731588,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-04,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3500.0,3576.67,3423.0,3484.33,2379084,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-05,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3500.0,3725.0,3453.33,3691.0,2952330,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-08,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3691.0,3691.0,3535.33,3552.33,1025388,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-09,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3535.67,3664.0,3534.0,3641.67,1054416,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-10,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3643.33,3696.0,3551.67,3595.67,1345557,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-11,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3626.67,3666.0,3450.0,3469.67,1212624,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-12,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3498.33,3506.0,3350.0,3378.67,1237647,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-15,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3433.33,3481.67,3361.33,3409.67,1250814,FYERS_HISTORY,2026-08-05T19:55:53+05:30
2025-09-16,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,3501.0,3947.0,3501.0,3644.0,4238853,FYERS_HISTORY,2026-08-05T19:55:53+05:30
