trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0110,INDIANB,NSE:INDIANB-EQ,640.0,644.3,632.3,634.75,895005,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-06,SMD-0110,INDIANB,NSE:INDIANB-EQ,634.0,638.8,626.85,637.5,1680608,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-07,SMD-0110,INDIANB,NSE:INDIANB-EQ,632.0,650.0,631.0,647.65,1991319,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-08,SMD-0110,INDIANB,NSE:INDIANB-EQ,647.65,655.9,644.15,650.85,1934270,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-11,SMD-0110,INDIANB,NSE:INDIANB-EQ,650.85,677.0,650.0,674.0,2887066,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-12,SMD-0110,INDIANB,NSE:INDIANB-EQ,676.55,676.55,669.7,671.4,897642,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-13,SMD-0110,INDIANB,NSE:INDIANB-EQ,675.0,676.0,666.3,670.7,717193,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-14,SMD-0110,INDIANB,NSE:INDIANB-EQ,670.7,673.2,666.05,668.25,538598,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-18,SMD-0110,INDIANB,NSE:INDIANB-EQ,673.8,679.8,671.3,676.3,1454093,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-19,SMD-0110,INDIANB,NSE:INDIANB-EQ,678.0,683.1,668.15,671.65,875343,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-20,SMD-0110,INDIANB,NSE:INDIANB-EQ,671.0,673.75,666.55,670.05,685915,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-21,SMD-0110,INDIANB,NSE:INDIANB-EQ,670.0,673.0,666.15,670.85,558989,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-22,SMD-0110,INDIANB,NSE:INDIANB-EQ,669.05,674.4,666.2,670.25,805749,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-25,SMD-0110,INDIANB,NSE:INDIANB-EQ,670.25,673.4,664.3,668.05,314523,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-26,SMD-0110,INDIANB,NSE:INDIANB-EQ,666.0,666.4,654.0,655.9,786973,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-28,SMD-0110,INDIANB,NSE:INDIANB-EQ,655.0,657.45,650.25,652.85,2844882,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-08-29,SMD-0110,INDIANB,NSE:INDIANB-EQ,652.5,657.05,642.6,653.1,637887,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-09-01,SMD-0110,INDIANB,NSE:INDIANB-EQ,653.1,669.85,653.0,668.5,1059709,FYERS_HISTORY,2026-08-05T19:56:04+05:30
2025-09-02,SMD-0110,INDIANB,NSE:INDIANB-EQ,667.0,674.0,661.5,664.15,486775,FYERS_HISTORY,2026-08-05T19:56:04+05:30
