trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2000-01-03,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,28.9,28.95,28.0,28.95,107224,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-04,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,30.85,31.25,27.9,30.25,182693,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-05,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,29.9,30.0,27.85,28.15,162820,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-06,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,29.25,29.35,27.95,28.0,87901,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-07,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,27.2,28.0,26.5,27.05,65684,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-10,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,28.0,28.05,27.15,27.5,87142,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-11,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,28.0,28.0,26.0,26.35,186472,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-12,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,27.4,27.4,26.65,27.1,72140,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-13,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,27.0,27.5,26.55,26.7,89730,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-14,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,26.5,26.7,25.65,25.95,66070,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-17,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,27.95,28.05,27.95,28.05,122350,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-18,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,30.25,30.3,27.3,27.8,389710,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-19,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,28.5,30.0,27.65,29.7,268997,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-20,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,29.9,31.4,29.15,30.6,281868,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-21,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,30.9,30.9,29.25,30.3,225437,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-24,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,28.6,32.0,28.6,29.1,141305,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-25,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,29.0,29.6,28.1,29.1,191270,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-27,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,30.5,31.45,30.0,31.45,77448,FYERS_HISTORY,2026-08-08T23:20:15+05:30
2000-01-28,SMD-0112,INDUSINDBK,NSE:INDUSINDBK-EQ,34.0,34.0,34.0,34.0,51944,FYERS_HISTORY,2026-08-08T23:20:15+05:30
