trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,645.0,656.5,641.95,648.8,1196098,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-05,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,652.0,654.6,635.15,641.5,707823,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-06,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,643.9,643.9,625.35,630.05,1035230,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-07,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,625.25,640.0,623.9,635.7,2776731,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-08,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,635.7,638.45,620.95,624.45,1820049,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-11,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,621.9,633.15,620.0,630.45,1268903,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-12,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,630.45,638.55,627.05,632.85,2370696,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-13,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,632.85,644.0,631.4,639.75,712697,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-14,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,657.25,670.45,628.3,631.85,6696309,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-18,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,634.75,650.05,633.5,635.2,1695485,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-19,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,638.7,638.7,625.2,634.05,1619515,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-20,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,634.05,639.0,630.0,634.2,1293506,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-21,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,634.2,638.15,625.45,627.35,1187889,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-22,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,627.35,632.4,616.5,619.15,894008,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-25,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,619.95,650.75,616.5,647.8,5226858,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-26,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,645.0,650.75,638.8,640.8,1466400,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-28,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,636.0,643.35,633.2,635.55,884338,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-08-29,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,632.0,640.0,625.6,627.75,756600,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-01,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,626.0,633.7,625.7,630.9,639421,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-02,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,635.0,638.5,626.6,635.6,916379,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-03,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,638.4,639.2,633.3,634.85,593520,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-04,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,646.9,664.05,640.0,654.2,2541357,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-05,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,654.9,661.2,650.7,656.0,1227777,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-08,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,654.0,665.45,653.95,659.8,1032570,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-09,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,659.8,666.0,657.5,663.8,748419,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-10,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,666.3,667.75,653.2,657.05,1023567,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-11,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,657.05,658.0,650.65,651.65,353574,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-12,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,653.7,653.95,631.5,635.15,1509984,FYERS_HISTORY,2026-08-04T21:48:26+05:30
2025-09-15,SMD-0127,JUBLFOOD,NSE:JUBLFOOD-EQ,635.5,636.0,627.75,631.8,861349,FYERS_HISTORY,2026-08-04T21:48:26+05:30
