trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0129,KAYNES,NSE:KAYNES-EQ,6370.5,6515.0,6300.0,6325.5,925011,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-06,SMD-0129,KAYNES,NSE:KAYNES-EQ,6325.0,6325.0,6003.5,6031.5,677596,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-07,SMD-0129,KAYNES,NSE:KAYNES-EQ,6015.0,6120.5,5959.5,6089.0,355653,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-08,SMD-0129,KAYNES,NSE:KAYNES-EQ,6090.0,6110.0,5792.5,5815.5,535725,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-11,SMD-0129,KAYNES,NSE:KAYNES-EQ,5821.5,5894.5,5751.5,5851.0,323163,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-12,SMD-0129,KAYNES,NSE:KAYNES-EQ,5852.0,5915.5,5790.5,5808.5,219706,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-13,SMD-0129,KAYNES,NSE:KAYNES-EQ,5834.5,6155.0,5815.5,6060.0,890291,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-14,SMD-0129,KAYNES,NSE:KAYNES-EQ,6095.0,6174.5,6031.0,6116.5,348121,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-18,SMD-0129,KAYNES,NSE:KAYNES-EQ,6248.0,6340.0,6168.0,6279.0,500720,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-19,SMD-0129,KAYNES,NSE:KAYNES-EQ,6280.0,6349.5,6200.0,6272.0,341755,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-20,SMD-0129,KAYNES,NSE:KAYNES-EQ,6249.0,6327.0,6167.5,6200.5,293182,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-21,SMD-0129,KAYNES,NSE:KAYNES-EQ,6230.0,6246.5,6134.0,6145.5,197399,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-22,SMD-0129,KAYNES,NSE:KAYNES-EQ,6160.0,6246.5,6090.0,6209.0,280060,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-25,SMD-0129,KAYNES,NSE:KAYNES-EQ,6224.0,6297.0,6181.5,6231.5,293849,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-26,SMD-0129,KAYNES,NSE:KAYNES-EQ,6210.0,6279.0,6055.5,6197.5,545935,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-28,SMD-0129,KAYNES,NSE:KAYNES-EQ,6180.0,6236.0,6075.5,6195.0,288821,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-08-29,SMD-0129,KAYNES,NSE:KAYNES-EQ,6189.5,6260.0,6110.0,6123.0,197699,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-01,SMD-0129,KAYNES,NSE:KAYNES-EQ,6163.0,6631.0,6150.0,6600.0,1581296,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-02,SMD-0129,KAYNES,NSE:KAYNES-EQ,6650.0,6730.0,6508.0,6573.0,745510,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-03,SMD-0129,KAYNES,NSE:KAYNES-EQ,6573.0,6792.0,6573.0,6744.0,710942,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-04,SMD-0129,KAYNES,NSE:KAYNES-EQ,6800.5,6900.0,6724.0,6768.0,518130,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-05,SMD-0129,KAYNES,NSE:KAYNES-EQ,6798.0,6930.0,6777.0,6841.5,463781,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-08,SMD-0129,KAYNES,NSE:KAYNES-EQ,6984.5,7198.0,6832.0,7041.5,873566,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-09,SMD-0129,KAYNES,NSE:KAYNES-EQ,7041.5,7154.0,6960.0,7100.5,534418,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-10,SMD-0129,KAYNES,NSE:KAYNES-EQ,7139.0,7174.5,7059.5,7097.5,359575,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-11,SMD-0129,KAYNES,NSE:KAYNES-EQ,7080.0,7196.0,7072.0,7120.5,300814,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-12,SMD-0129,KAYNES,NSE:KAYNES-EQ,7149.0,7239.5,7081.0,7171.5,367060,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-15,SMD-0129,KAYNES,NSE:KAYNES-EQ,7198.5,7210.0,7120.5,7130.0,222877,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-16,SMD-0129,KAYNES,NSE:KAYNES-EQ,7130.0,7239.0,7070.0,7183.0,375876,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-17,SMD-0129,KAYNES,NSE:KAYNES-EQ,7210.5,7275.0,7157.0,7257.5,435071,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-18,SMD-0129,KAYNES,NSE:KAYNES-EQ,7275.0,7294.0,7211.0,7227.5,190914,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-19,SMD-0129,KAYNES,NSE:KAYNES-EQ,7225.0,7344.5,6882.0,7151.5,1246689,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-22,SMD-0129,KAYNES,NSE:KAYNES-EQ,7100.0,7270.0,7067.0,7083.5,355487,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-23,SMD-0129,KAYNES,NSE:KAYNES-EQ,7100.0,7299.0,7100.0,7242.0,433904,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-24,SMD-0129,KAYNES,NSE:KAYNES-EQ,7237.0,7527.0,7224.0,7454.0,1033396,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-25,SMD-0129,KAYNES,NSE:KAYNES-EQ,7455.0,7624.0,7451.5,7503.0,756582,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-26,SMD-0129,KAYNES,NSE:KAYNES-EQ,7490.0,7509.0,7279.0,7341.0,413119,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-29,SMD-0129,KAYNES,NSE:KAYNES-EQ,7399.0,7489.5,7021.0,7050.5,695466,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-09-30,SMD-0129,KAYNES,NSE:KAYNES-EQ,7120.0,7120.0,6990.0,7052.0,310041,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-01,SMD-0129,KAYNES,NSE:KAYNES-EQ,7086.0,7244.0,7068.0,7157.0,288274,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-03,SMD-0129,KAYNES,NSE:KAYNES-EQ,7170.0,7296.0,7122.5,7273.0,182784,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-06,SMD-0129,KAYNES,NSE:KAYNES-EQ,7304.5,7650.0,7190.5,7466.5,487370,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-07,SMD-0129,KAYNES,NSE:KAYNES-EQ,7505.0,7705.0,7452.0,7593.0,791550,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-08,SMD-0129,KAYNES,NSE:KAYNES-EQ,7593.0,7609.0,7165.5,7189.0,798839,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-09,SMD-0129,KAYNES,NSE:KAYNES-EQ,7223.0,7272.0,7082.5,7102.5,691656,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-10,SMD-0129,KAYNES,NSE:KAYNES-EQ,7110.0,7183.0,7053.5,7102.0,344930,FYERS_HISTORY,2026-08-05T19:56:11+05:30
2025-10-13,SMD-0129,KAYNES,NSE:KAYNES-EQ,7070.0,7074.0,6709.5,6838.5,1194945,FYERS_HISTORY,2026-08-05T19:56:11+05:30
