trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0146,MANKIND,NSE:MANKIND-EQ,2637.0,2661.5,2581.6,2618.9,477927,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-06,SMD-0146,MANKIND,NSE:MANKIND-EQ,2600.0,2618.9,2548.5,2556.2,420756,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-07,SMD-0146,MANKIND,NSE:MANKIND-EQ,2556.2,2575.6,2504.8,2537.8,693843,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-08,SMD-0146,MANKIND,NSE:MANKIND-EQ,2538.7,2540.0,2455.1,2467.1,700538,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-11,SMD-0146,MANKIND,NSE:MANKIND-EQ,2460.0,2478.0,2424.6,2437.5,357967,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-12,SMD-0146,MANKIND,NSE:MANKIND-EQ,2435.6,2464.9,2410.0,2430.7,708892,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-13,SMD-0146,MANKIND,NSE:MANKIND-EQ,2442.7,2483.8,2436.9,2466.0,376040,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-14,SMD-0146,MANKIND,NSE:MANKIND-EQ,2468.1,2561.0,2461.9,2472.6,1001061,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-18,SMD-0146,MANKIND,NSE:MANKIND-EQ,2496.5,2499.8,2461.0,2472.4,510883,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-19,SMD-0146,MANKIND,NSE:MANKIND-EQ,2480.0,2530.0,2478.2,2492.2,513562,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-20,SMD-0146,MANKIND,NSE:MANKIND-EQ,2496.0,2516.2,2485.5,2506.6,390827,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-21,SMD-0146,MANKIND,NSE:MANKIND-EQ,2506.0,2628.9,2492.1,2600.1,1200361,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-22,SMD-0146,MANKIND,NSE:MANKIND-EQ,2588.0,2651.5,2587.9,2606.8,731363,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-25,SMD-0146,MANKIND,NSE:MANKIND-EQ,2614.6,2626.4,2550.0,2557.1,403135,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-26,SMD-0146,MANKIND,NSE:MANKIND-EQ,2535.1,2564.3,2488.0,2502.0,533860,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-28,SMD-0146,MANKIND,NSE:MANKIND-EQ,2504.5,2523.1,2470.0,2474.1,233219,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-08-29,SMD-0146,MANKIND,NSE:MANKIND-EQ,2488.0,2511.3,2455.1,2471.4,330123,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-09-01,SMD-0146,MANKIND,NSE:MANKIND-EQ,2473.5,2526.2,2472.0,2520.9,301064,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-09-02,SMD-0146,MANKIND,NSE:MANKIND-EQ,2538.9,2557.9,2523.5,2543.3,284743,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-09-03,SMD-0146,MANKIND,NSE:MANKIND-EQ,2539.8,2584.0,2529.7,2559.1,1013928,FYERS_HISTORY,2026-08-05T19:56:18+05:30
2025-09-04,SMD-0146,MANKIND,NSE:MANKIND-EQ,2610.1,2610.1,2563.2,2568.9,421469,FYERS_HISTORY,2026-08-05T19:56:18+05:30
