trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,927.05,933.9,907.1,910.75,584325,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,913.15,930.0,900.3,924.75,818684,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-07,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,915.95,924.2,893.75,917.8,1265629,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-08,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,917.8,922.55,902.45,905.6,750514,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,909.0,923.2,895.15,918.55,920044,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-12,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,920.3,923.95,907.3,911.3,439883,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-13,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,919.0,937.95,915.85,928.85,898720,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-14,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,929.9,935.05,922.55,929.2,694343,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-18,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,934.9,945.0,932.3,938.1,841636,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-19,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,941.0,978.0,933.3,959.8,2442587,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-20,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,962.95,969.5,955.5,960.25,548309,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-21,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,962.1,963.0,933.85,949.3,799074,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-22,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,949.0,949.0,925.15,929.25,605404,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-25,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,932.9,938.0,918.5,925.7,613837,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-26,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,920.05,925.7,901.1,908.95,920618,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-28,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,908.15,908.15,886.0,889.0,556768,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-08-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,890.05,900.9,852.0,857.3,886375,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-01,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,860.95,900.0,859.6,895.4,1172804,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-02,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,900.95,901.2,871.2,875.1,1142882,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-03,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,878.95,884.85,873.0,881.1,429716,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-04,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,889.7,895.0,867.85,870.85,531433,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-05,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,874.35,882.6,865.8,873.05,628011,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-08,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,877.45,908.25,870.05,895.0,805095,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-09,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,896.0,900.1,880.1,884.75,471558,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-10,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,889.9,924.9,889.0,920.0,1513502,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-11,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,920.0,923.9,905.0,914.75,666552,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-12,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,912.8,928.9,905.0,918.0,591125,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-15,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,921.95,946.75,915.6,940.75,888127,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-16,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,945.0,945.0,928.85,934.4,455315,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-17,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,941.0,941.45,928.95,933.45,491544,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-18,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,940.0,940.1,919.05,923.05,478648,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-19,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,923.05,962.0,921.5,944.7,2360368,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-22,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,943.45,962.0,940.45,950.3,766897,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-23,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,951.0,962.0,943.65,958.35,684313,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-24,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,960.0,966.5,936.55,943.75,477688,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-25,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,940.0,948.0,916.35,920.05,545291,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-26,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,923.0,927.05,901.6,910.75,576550,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-29,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,912.45,928.85,909.4,916.2,659150,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-09-30,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,920.1,923.75,880.1,893.6,715679,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-01,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,890.1,902.4,877.7,900.1,649035,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-03,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,903.7,914.0,896.4,911.0,485972,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-06,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,910.0,941.5,905.5,935.25,925225,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-07,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,936.4,947.0,928.2,937.4,635299,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-08,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,935.0,935.9,920.0,923.95,334903,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-09,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,923.0,988.0,920.8,980.25,3854809,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-10,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,952.2,980.75,952.2,967.3,1372916,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-13,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,967.0,1010.0,962.1,1003.95,3415903,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-14,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,1008.55,1020.0,991.3,999.0,1412070,FYERS_HISTORY,2026-08-05T19:56:22+05:30
2025-10-15,SMD-0156,MOTILALOFS,NSE:MOTILALOFS-EQ,1003.0,1023.4,995.6,1019.25,1045369,FYERS_HISTORY,2026-08-05T19:56:22+05:30
