trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2670.0,2677.0,2616.0,2641.5,293862,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-06,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2635.1,2655.8,2613.1,2624.7,340219,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-07,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2625.0,2655.0,2595.4,2634.6,196791,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-08,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2641.0,2664.7,2595.0,2617.8,223811,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-11,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2605.2,2626.4,2560.0,2589.8,439383,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-12,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2592.4,2596.9,2510.0,2533.2,261504,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-13,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2522.0,2549.9,2476.6,2509.9,487954,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-14,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2730.0,2800.0,2671.3,2757.4,8765092,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-18,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2800.0,2807.0,2755.6,2768.3,760570,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-19,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2775.0,2794.9,2731.1,2747.2,381133,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-20,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2754.4,2754.4,2656.9,2683.9,632863,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-21,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2697.9,2701.7,2649.1,2675.8,439025,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-22,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2684.0,2695.0,2670.0,2680.6,294041,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-25,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2695.0,2716.4,2680.7,2693.7,368961,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-26,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2693.7,2699.1,2659.2,2673.1,383881,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-28,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2694.4,2694.4,2635.2,2644.8,408579,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-08-29,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2650.0,2676.0,2604.2,2637.8,494826,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-01,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2664.1,2727.0,2651.2,2710.0,1352162,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-02,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2732.6,2768.0,2686.5,2698.7,497354,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-03,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2709.5,2800.0,2709.5,2783.6,1097610,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-04,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2795.0,2835.0,2788.4,2826.3,874540,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-05,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2835.0,2874.9,2830.0,2837.9,464545,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-08,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2844.2,2933.6,2839.9,2900.9,566051,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-09,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2918.0,2945.4,2914.7,2942.4,558569,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-10,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2950.0,2954.7,2876.1,2898.1,388493,FYERS_HISTORY,2026-08-05T19:56:23+05:30
2025-09-11,SMD-0158,MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,2909.9,2919.7,2871.0,2877.4,292701,FYERS_HISTORY,2026-08-05T19:56:23+05:30
