trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-03-03,SMD-0168,NMDC,NSE:NMDC-EQ,123.04,123.04,117.79,122.65,5280,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-04,SMD-0168,NMDC,NSE:NMDC-EQ,124.44,124.44,116.51,116.51,1884,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-05,SMD-0168,NMDC,NSE:NMDC-EQ,113.32,115.5,110.69,114.67,1659,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-07,SMD-0168,NMDC,NSE:NMDC-EQ,116.67,116.67,108.94,109.04,2253,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-10,SMD-0168,NMDC,NSE:NMDC-EQ,98.34,113.3,98.34,110.78,3858,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-11,SMD-0168,NMDC,NSE:NMDC-EQ,113.78,121.86,111.39,121.86,3258,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-12,SMD-0168,NMDC,NSE:NMDC-EQ,134.05,134.05,134.05,134.05,1167,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-13,SMD-0168,NMDC,NSE:NMDC-EQ,143.33,143.33,120.64,120.64,10572,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-14,SMD-0168,NMDC,NSE:NMDC-EQ,121.11,132.71,111.17,131.13,9738,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-17,SMD-0168,NMDC,NSE:NMDC-EQ,121.0,126.1,118.02,118.04,4242,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-18,SMD-0168,NMDC,NSE:NMDC-EQ,122.21,124.44,111.0,114.75,5073,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-19,SMD-0168,NMDC,NSE:NMDC-EQ,122.0,124.55,104.22,105.82,3519,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-24,SMD-0168,NMDC,NSE:NMDC-EQ,111.0,111.05,95.44,98.7,4263,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-25,SMD-0168,NMDC,NSE:NMDC-EQ,90.0,106.67,90.0,104.94,4350,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-26,SMD-0168,NMDC,NSE:NMDC-EQ,108.88,108.88,101.33,103.63,2490,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-27,SMD-0168,NMDC,NSE:NMDC-EQ,100.89,107.22,100.0,105.65,2289,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-28,SMD-0168,NMDC,NSE:NMDC-EQ,105.78,116.21,100.0,114.3,2790,FYERS_HISTORY,2026-08-08T23:44:21+05:30
2008-03-31,SMD-0168,NMDC,NSE:NMDC-EQ,116.21,125.73,114.44,115.16,9099,FYERS_HISTORY,2026-08-08T23:44:21+05:30
