trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,785.0,794.0,765.1,767.8,5652778,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-06,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,772.2,785.7,766.5,774.8,4817454,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-07,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,770.05,771.9,754.0,758.7,3869902,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-08,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,765.7,782.95,761.25,770.75,3559039,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-11,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,774.65,780.0,766.25,773.6,1790243,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-12,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,774.0,777.4,765.0,767.15,1700330,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-13,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,769.0,775.5,767.45,773.05,1124423,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-14,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,776.0,777.4,765.55,767.0,1163422,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-18,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,777.0,789.0,770.45,786.2,3014348,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-19,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,788.4,824.7,783.65,817.7,10253695,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-20,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,817.7,819.95,803.1,808.45,2732430,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-21,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,811.8,816.3,802.95,804.25,1609672,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-22,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,804.85,806.65,794.8,799.75,1548980,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-25,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,803.95,806.5,794.0,799.85,1990188,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-26,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,802.25,802.25,781.05,782.9,1906485,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-28,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,785.0,785.0,765.2,767.05,2816692,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-08-29,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,770.1,774.5,750.3,753.6,1227892,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-09-01,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,760.0,763.5,751.05,761.25,1609137,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-09-02,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,769.7,793.0,760.1,785.45,3181014,FYERS_HISTORY,2026-08-05T19:56:35+05:30
2025-09-03,SMD-0188,PNBHOUSING,NSE:PNBHOUSING-EQ,790.0,795.8,785.0,791.85,1318507,FYERS_HISTORY,2026-08-05T19:56:35+05:30
