trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0197,RADICO,NSE:RADICO-EQ,2865.0,2935.6,2780.5,2798.3,661531,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-05,SMD-0197,RADICO,NSE:RADICO-EQ,2815.0,2924.1,2805.3,2887.1,629435,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-06,SMD-0197,RADICO,NSE:RADICO-EQ,2899.0,2918.0,2570.7,2837.6,509089,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-07,SMD-0197,RADICO,NSE:RADICO-EQ,2840.6,2868.5,2805.6,2837.0,234142,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-08,SMD-0197,RADICO,NSE:RADICO-EQ,2849.0,2861.4,2808.0,2824.1,158615,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-11,SMD-0197,RADICO,NSE:RADICO-EQ,2824.1,2884.0,2822.1,2856.3,209442,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-12,SMD-0197,RADICO,NSE:RADICO-EQ,2867.0,2915.0,2845.6,2895.5,211968,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-13,SMD-0197,RADICO,NSE:RADICO-EQ,2915.0,2915.5,2791.0,2823.9,233643,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-14,SMD-0197,RADICO,NSE:RADICO-EQ,2847.6,2871.0,2777.3,2857.6,185108,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-18,SMD-0197,RADICO,NSE:RADICO-EQ,2871.3,2894.7,2842.0,2851.3,226303,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-19,SMD-0197,RADICO,NSE:RADICO-EQ,2852.9,2861.9,2815.1,2821.8,125396,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-20,SMD-0197,RADICO,NSE:RADICO-EQ,2825.1,2845.0,2796.5,2833.5,283667,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-21,SMD-0197,RADICO,NSE:RADICO-EQ,2844.0,2905.0,2822.2,2894.8,220793,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-22,SMD-0197,RADICO,NSE:RADICO-EQ,2904.9,2921.5,2867.2,2890.4,172629,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-25,SMD-0197,RADICO,NSE:RADICO-EQ,2905.0,2924.8,2884.1,2912.7,228332,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-26,SMD-0197,RADICO,NSE:RADICO-EQ,2909.0,2914.0,2850.0,2904.5,227390,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-28,SMD-0197,RADICO,NSE:RADICO-EQ,2905.0,2905.0,2830.0,2840.0,78575,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-08-29,SMD-0197,RADICO,NSE:RADICO-EQ,2845.6,2883.5,2818.4,2852.5,124344,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-01,SMD-0197,RADICO,NSE:RADICO-EQ,2852.5,2876.4,2817.0,2856.7,145580,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-02,SMD-0197,RADICO,NSE:RADICO-EQ,2865.0,2915.8,2850.0,2896.7,186740,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-03,SMD-0197,RADICO,NSE:RADICO-EQ,2896.7,2949.0,2860.0,2902.1,246083,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-04,SMD-0197,RADICO,NSE:RADICO-EQ,2909.0,2914.8,2819.1,2840.4,170830,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-05,SMD-0197,RADICO,NSE:RADICO-EQ,2847.0,2860.0,2764.1,2787.2,160970,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-08,SMD-0197,RADICO,NSE:RADICO-EQ,2785.0,2835.0,2750.1,2759.9,148659,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-09,SMD-0197,RADICO,NSE:RADICO-EQ,2755.0,2786.5,2724.6,2757.7,138558,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-10,SMD-0197,RADICO,NSE:RADICO-EQ,2757.7,2832.8,2711.0,2810.0,578859,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-11,SMD-0197,RADICO,NSE:RADICO-EQ,2810.5,2892.0,2805.7,2877.0,189549,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-12,SMD-0197,RADICO,NSE:RADICO-EQ,2862.0,2903.4,2848.0,2870.9,353904,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-15,SMD-0197,RADICO,NSE:RADICO-EQ,2904.0,2986.8,2904.0,2980.6,703289,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-16,SMD-0197,RADICO,NSE:RADICO-EQ,2986.6,3021.0,2966.6,2994.4,445388,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-17,SMD-0197,RADICO,NSE:RADICO-EQ,3000.9,3016.9,2980.6,3010.9,213655,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-18,SMD-0197,RADICO,NSE:RADICO-EQ,3014.1,3035.7,2978.3,3010.5,338157,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-19,SMD-0197,RADICO,NSE:RADICO-EQ,3016.9,3067.0,3003.0,3052.5,539820,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-22,SMD-0197,RADICO,NSE:RADICO-EQ,3060.7,3062.0,3010.0,3027.6,94151,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-23,SMD-0197,RADICO,NSE:RADICO-EQ,3030.7,3034.0,2946.8,2957.6,125042,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-24,SMD-0197,RADICO,NSE:RADICO-EQ,2979.9,2985.0,2925.0,2969.3,127858,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-25,SMD-0197,RADICO,NSE:RADICO-EQ,2969.4,3037.8,2950.0,2962.8,327244,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-26,SMD-0197,RADICO,NSE:RADICO-EQ,2965.0,2971.0,2872.9,2882.8,131442,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-29,SMD-0197,RADICO,NSE:RADICO-EQ,2894.3,2925.5,2861.7,2886.6,143795,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-09-30,SMD-0197,RADICO,NSE:RADICO-EQ,2880.0,2902.8,2859.7,2887.9,131698,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-01,SMD-0197,RADICO,NSE:RADICO-EQ,2884.8,2922.0,2854.2,2914.2,100145,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-03,SMD-0197,RADICO,NSE:RADICO-EQ,2940.0,2968.9,2897.0,2957.6,183044,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-06,SMD-0197,RADICO,NSE:RADICO-EQ,2973.0,2973.0,2919.0,2951.2,121532,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-07,SMD-0197,RADICO,NSE:RADICO-EQ,2950.0,3014.5,2950.0,2997.4,264311,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-08,SMD-0197,RADICO,NSE:RADICO-EQ,3000.0,3005.6,2966.0,2982.7,67344,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-09,SMD-0197,RADICO,NSE:RADICO-EQ,2982.0,2997.0,2952.0,2987.8,100710,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-10,SMD-0197,RADICO,NSE:RADICO-EQ,2985.0,3010.0,2975.0,2988.4,87885,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-13,SMD-0197,RADICO,NSE:RADICO-EQ,2988.0,3040.0,2972.2,2996.5,121570,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-14,SMD-0197,RADICO,NSE:RADICO-EQ,2998.0,2998.0,2887.1,2911.3,144673,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-15,SMD-0197,RADICO,NSE:RADICO-EQ,2914.9,2965.0,2909.6,2951.7,88009,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-16,SMD-0197,RADICO,NSE:RADICO-EQ,2953.1,3017.0,2951.8,2997.9,142577,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-17,SMD-0197,RADICO,NSE:RADICO-EQ,2997.4,3130.0,2996.5,3108.5,701637,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-20,SMD-0197,RADICO,NSE:RADICO-EQ,3130.0,3281.9,3130.0,3254.7,1496122,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-21,SMD-0197,RADICO,NSE:RADICO-EQ,3280.0,3314.4,3276.5,3302.1,75031,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-23,SMD-0197,RADICO,NSE:RADICO-EQ,3302.1,3423.0,3250.4,3283.3,670210,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-24,SMD-0197,RADICO,NSE:RADICO-EQ,3290.9,3326.9,3208.1,3220.0,287492,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-27,SMD-0197,RADICO,NSE:RADICO-EQ,3228.8,3242.4,3188.1,3214.0,128685,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-28,SMD-0197,RADICO,NSE:RADICO-EQ,3230.1,3288.8,3177.0,3188.3,194331,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-29,SMD-0197,RADICO,NSE:RADICO-EQ,3209.0,3233.0,3145.1,3164.1,634434,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-30,SMD-0197,RADICO,NSE:RADICO-EQ,3187.0,3187.0,3128.1,3144.7,352004,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-10-31,SMD-0197,RADICO,NSE:RADICO-EQ,3149.0,3176.2,3112.1,3131.5,754095,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-03,SMD-0197,RADICO,NSE:RADICO-EQ,3149.9,3203.4,3120.5,3193.6,348002,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-04,SMD-0197,RADICO,NSE:RADICO-EQ,3210.0,3216.1,3185.1,3199.6,264233,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-06,SMD-0197,RADICO,NSE:RADICO-EQ,3207.0,3258.0,3169.0,3185.9,316849,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-07,SMD-0197,RADICO,NSE:RADICO-EQ,3175.0,3329.0,3163.5,3310.9,596731,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-10,SMD-0197,RADICO,NSE:RADICO-EQ,3315.9,3319.0,3247.0,3259.6,188149,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-11,SMD-0197,RADICO,NSE:RADICO-EQ,3259.6,3304.0,3249.6,3275.6,222817,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-12,SMD-0197,RADICO,NSE:RADICO-EQ,3288.0,3357.0,3273.0,3302.7,357217,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-13,SMD-0197,RADICO,NSE:RADICO-EQ,3319.0,3319.0,3179.0,3187.1,239572,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-14,SMD-0197,RADICO,NSE:RADICO-EQ,3186.0,3265.7,3180.0,3259.9,163688,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-17,SMD-0197,RADICO,NSE:RADICO-EQ,3279.5,3315.0,3273.6,3285.4,234414,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-18,SMD-0197,RADICO,NSE:RADICO-EQ,3299.0,3311.9,3276.6,3290.8,268061,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-19,SMD-0197,RADICO,NSE:RADICO-EQ,3299.0,3301.0,3225.2,3229.5,214939,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-20,SMD-0197,RADICO,NSE:RADICO-EQ,3262.0,3591.9,3261.7,3368.0,5902795,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-21,SMD-0197,RADICO,NSE:RADICO-EQ,3395.0,3447.2,3253.6,3273.1,1111713,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-24,SMD-0197,RADICO,NSE:RADICO-EQ,3289.4,3332.1,3237.0,3256.1,445431,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-25,SMD-0197,RADICO,NSE:RADICO-EQ,3280.0,3316.8,3270.0,3284.5,271029,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-26,SMD-0197,RADICO,NSE:RADICO-EQ,3301.0,3313.0,3268.0,3294.0,259136,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-27,SMD-0197,RADICO,NSE:RADICO-EQ,3307.5,3308.0,3145.0,3160.2,324504,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-11-28,SMD-0197,RADICO,NSE:RADICO-EQ,3183.0,3245.0,3165.8,3208.1,405458,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-01,SMD-0197,RADICO,NSE:RADICO-EQ,3190.0,3242.2,3186.3,3217.0,116018,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-02,SMD-0197,RADICO,NSE:RADICO-EQ,3229.0,3249.0,3196.9,3211.6,198692,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-03,SMD-0197,RADICO,NSE:RADICO-EQ,3214.0,3273.6,3213.9,3260.7,309614,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-04,SMD-0197,RADICO,NSE:RADICO-EQ,3260.7,3265.7,3207.3,3216.0,143040,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-05,SMD-0197,RADICO,NSE:RADICO-EQ,3217.3,3222.8,3180.0,3201.9,138176,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-08,SMD-0197,RADICO,NSE:RADICO-EQ,3201.9,3260.0,3139.0,3148.1,233498,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-09,SMD-0197,RADICO,NSE:RADICO-EQ,3140.0,3218.3,3092.9,3209.2,238790,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-10,SMD-0197,RADICO,NSE:RADICO-EQ,3215.0,3289.4,3204.6,3232.5,210573,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-11,SMD-0197,RADICO,NSE:RADICO-EQ,3235.7,3235.7,3172.8,3199.7,160219,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-12,SMD-0197,RADICO,NSE:RADICO-EQ,3212.5,3257.9,3204.6,3224.1,198068,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-15,SMD-0197,RADICO,NSE:RADICO-EQ,3218.5,3270.0,3180.0,3222.2,146630,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-16,SMD-0197,RADICO,NSE:RADICO-EQ,3215.0,3215.0,3130.0,3169.3,122863,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-17,SMD-0197,RADICO,NSE:RADICO-EQ,3177.9,3198.0,3062.0,3068.7,245981,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-18,SMD-0197,RADICO,NSE:RADICO-EQ,3089.8,3190.0,3082.1,3163.4,416210,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-19,SMD-0197,RADICO,NSE:RADICO-EQ,3150.0,3248.0,3125.0,3194.9,389886,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-22,SMD-0197,RADICO,NSE:RADICO-EQ,3194.9,3275.9,3150.1,3270.9,297980,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-23,SMD-0197,RADICO,NSE:RADICO-EQ,3270.0,3323.4,3240.0,3267.3,306249,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-24,SMD-0197,RADICO,NSE:RADICO-EQ,3267.3,3335.0,3246.0,3301.9,363315,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-26,SMD-0197,RADICO,NSE:RADICO-EQ,3301.9,3325.4,3265.1,3305.3,303155,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-29,SMD-0197,RADICO,NSE:RADICO-EQ,3263.0,3288.6,3219.5,3249.7,209239,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-30,SMD-0197,RADICO,NSE:RADICO-EQ,3250.0,3398.9,3151.0,3376.0,672965,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2025-12-31,SMD-0197,RADICO,NSE:RADICO-EQ,3384.9,3390.0,3254.5,3298.4,331304,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-01,SMD-0197,RADICO,NSE:RADICO-EQ,3282.0,3307.8,3246.0,3253.9,168345,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-02,SMD-0197,RADICO,NSE:RADICO-EQ,3253.9,3254.0,3086.0,3094.2,592140,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-05,SMD-0197,RADICO,NSE:RADICO-EQ,3099.0,3123.9,3015.0,3104.6,469055,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-06,SMD-0197,RADICO,NSE:RADICO-EQ,3112.4,3163.4,3074.0,3128.6,229834,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-07,SMD-0197,RADICO,NSE:RADICO-EQ,3139.0,3239.0,3115.0,3207.3,442543,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-08,SMD-0197,RADICO,NSE:RADICO-EQ,3209.0,3214.9,3057.7,3079.4,249814,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-09,SMD-0197,RADICO,NSE:RADICO-EQ,3091.2,3091.2,2919.0,2945.8,435632,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-12,SMD-0197,RADICO,NSE:RADICO-EQ,2962.0,2962.0,2781.3,2831.8,963017,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-13,SMD-0197,RADICO,NSE:RADICO-EQ,2855.5,2966.0,2845.9,2927.9,718456,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-14,SMD-0197,RADICO,NSE:RADICO-EQ,2927.9,2949.8,2889.5,2907.4,296806,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-16,SMD-0197,RADICO,NSE:RADICO-EQ,2922.6,2947.9,2870.6,2891.1,363997,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-19,SMD-0197,RADICO,NSE:RADICO-EQ,2891.0,2927.8,2828.5,2837.5,278320,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-20,SMD-0197,RADICO,NSE:RADICO-EQ,2852.9,2852.9,2722.0,2753.5,397891,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-21,SMD-0197,RADICO,NSE:RADICO-EQ,2759.8,2852.0,2700.0,2832.4,654467,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-22,SMD-0197,RADICO,NSE:RADICO-EQ,2849.2,3000.7,2700.0,2986.8,1014149,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-23,SMD-0197,RADICO,NSE:RADICO-EQ,2991.5,3049.0,2889.0,2962.0,882356,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-27,SMD-0197,RADICO,NSE:RADICO-EQ,2901.4,2976.7,2874.9,2924.0,654595,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-28,SMD-0197,RADICO,NSE:RADICO-EQ,2920.0,2920.0,2732.4,2746.8,960964,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-29,SMD-0197,RADICO,NSE:RADICO-EQ,2746.8,2761.0,2677.8,2701.3,709175,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-01-30,SMD-0197,RADICO,NSE:RADICO-EQ,2700.0,2849.0,2694.9,2828.1,626081,FYERS_HISTORY,2026-08-04T21:49:10+05:30
2026-02-01,SMD-0197,RADICO,NSE:RADICO-EQ,2829.6,2839.3,2712.0,2744.4,281215,FYERS_HISTORY,2026-08-04T21:49:10+05:30
