trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,265.25,267.0,262.95,265.7,8145965,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-06,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,265.1,266.7,257.05,260.05,9579434,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-07,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,258.0,270.0,256.95,267.1,11752448,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-08,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,267.25,271.45,260.0,261.7,12309605,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-11,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,261.95,265.7,257.1,258.5,6857205,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-12,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,258.9,260.25,251.7,253.35,3617487,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-13,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,254.35,258.3,252.2,253.8,4069168,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-14,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,254.7,257.05,250.5,251.85,3622770,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-18,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,255.0,260.6,253.05,259.25,7748895,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-19,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,260.05,262.2,254.8,261.75,4738168,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-20,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,261.8,261.9,255.5,256.6,3680548,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-21,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,256.0,258.0,253.0,254.15,4258646,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-22,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,254.1,257.85,251.9,253.15,4286419,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-25,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,254.5,260.35,254.5,256.8,5064696,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-26,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,257.6,259.4,252.05,255.4,8085816,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-28,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,255.3,256.55,243.25,250.85,51659384,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-08-29,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,251.5,267.35,251.5,261.05,65899998,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-01,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,260.5,266.95,259.05,264.9,22893999,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-02,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,266.05,271.0,263.75,269.3,11539140,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-03,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,270.7,273.6,267.6,270.0,10132446,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-04,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,271.7,271.7,265.2,265.8,4988447,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-05,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,265.8,279.0,265.8,276.0,26498078,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-08,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,276.05,277.3,271.1,273.0,4319393,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-09,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,273.0,275.25,272.45,273.45,4257979,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-10,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,275.0,275.55,263.2,272.4,8544963,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-11,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,274.0,274.5,269.7,270.05,2543432,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-12,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,271.5,274.7,268.65,272.6,5978860,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-15,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,273.6,274.5,270.25,271.35,4516550,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-16,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,271.5,272.65,265.55,267.3,7487514,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-17,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,267.4,268.75,263.7,264.4,8307534,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-18,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,264.4,273.2,262.7,271.2,10780169,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-19,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,268.95,273.75,268.9,271.0,7284786,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-22,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,272.8,275.9,267.55,269.7,24355387,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-23,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,270.55,274.35,266.5,268.95,7932080,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-24,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,269.3,272.9,268.6,270.35,3979056,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-25,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,270.0,277.0,269.0,275.45,14095435,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-26,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,275.0,276.3,270.85,272.35,8484898,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-29,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,274.0,279.85,273.1,277.8,9385811,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-09-30,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,278.8,279.95,270.85,277.25,16589086,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-01,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,277.7,281.7,261.6,275.2,38691602,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-03,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,275.0,280.15,273.1,275.9,10145743,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-06,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,277.1,278.0,272.3,275.6,6943468,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-07,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,275.55,276.55,272.1,273.55,5236546,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-08,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,274.9,290.45,273.8,286.45,34201386,FYERS_HISTORY,2026-08-05T19:56:38+05:30
2025-10-09,SMD-0198,RBLBANK,NSE:RBLBANK-EQ,285.9,287.9,279.2,286.7,7451525,FYERS_HISTORY,2026-08-05T19:56:38+05:30
