trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-05,SMD-0213,SRF,NSE:SRF-EQ,3060.0,3095.4,3032.0,3042.8,418104,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-06,SMD-0213,SRF,NSE:SRF-EQ,3040.0,3040.0,2950.0,2968.9,321329,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-07,SMD-0213,SRF,NSE:SRF-EQ,2965.0,2965.0,2875.0,2904.1,479056,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-08,SMD-0213,SRF,NSE:SRF-EQ,2886.0,2919.6,2844.9,2861.2,260157,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-11,SMD-0213,SRF,NSE:SRF-EQ,2840.0,2892.9,2820.0,2880.0,244526,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-12,SMD-0213,SRF,NSE:SRF-EQ,2880.0,2885.0,2832.2,2846.2,415408,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-13,SMD-0213,SRF,NSE:SRF-EQ,2859.9,2887.3,2845.3,2855.2,220747,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-14,SMD-0213,SRF,NSE:SRF-EQ,2852.1,2865.8,2830.5,2841.9,190742,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-18,SMD-0213,SRF,NSE:SRF-EQ,2860.0,2945.0,2848.1,2929.7,306279,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-19,SMD-0213,SRF,NSE:SRF-EQ,2930.0,2981.3,2911.6,2929.6,1004428,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-20,SMD-0213,SRF,NSE:SRF-EQ,2950.0,3014.5,2906.1,2924.2,733614,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-21,SMD-0213,SRF,NSE:SRF-EQ,2938.0,2938.0,2902.1,2912.8,306140,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-22,SMD-0213,SRF,NSE:SRF-EQ,2913.0,2937.5,2901.0,2917.5,313233,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-25,SMD-0213,SRF,NSE:SRF-EQ,2930.0,2954.0,2900.0,2911.7,355700,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-26,SMD-0213,SRF,NSE:SRF-EQ,2900.0,2914.6,2826.3,2849.2,939512,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-28,SMD-0213,SRF,NSE:SRF-EQ,2830.0,2858.4,2812.8,2850.8,363957,FYERS_HISTORY,2026-08-05T19:56:44+05:30
2025-08-29,SMD-0213,SRF,NSE:SRF-EQ,2832.0,2869.9,2828.6,2836.4,537875,FYERS_HISTORY,2026-08-05T19:56:44+05:30
