trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1291.4,1316.6,1277.0,1312.1,244606,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-05,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1313.0,1325.3,1280.1,1313.6,687764,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-06,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1290.0,1338.0,1272.0,1319.9,944308,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-07,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1309.9,1360.0,1309.1,1357.5,575035,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-08,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1357.5,1368.9,1330.1,1335.8,428142,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-11,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1335.0,1354.0,1327.1,1345.0,304004,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-12,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1346.3,1360.6,1345.2,1358.1,207267,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-13,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1360.0,1376.0,1350.0,1362.1,211541,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-14,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1366.9,1366.9,1327.3,1329.6,772075,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-18,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1340.2,1344.0,1295.2,1301.6,373981,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-19,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1302.0,1309.9,1288.5,1297.4,917897,FYERS_HISTORY,2026-08-04T21:49:30+05:30
2025-08-20,SMD-0234,TORNTPOWER,NSE:TORNTPOWER-EQ,1298.0,1301.9,1282.7,1285.3,799579,FYERS_HISTORY,2026-08-04T21:49:30+05:30
