trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2025-08-04,SMD-0241,UPL,NSE:UPL-EQ,673.5,719.45,672.05,711.7,12572025,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-05,SMD-0241,UPL,NSE:UPL-EQ,708.3,723.8,702.0,720.45,3136768,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-06,SMD-0241,UPL,NSE:UPL-EQ,720.0,721.85,704.2,705.3,1691312,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-07,SMD-0241,UPL,NSE:UPL-EQ,700.0,710.8,688.2,705.45,1933447,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-08,SMD-0241,UPL,NSE:UPL-EQ,704.05,704.95,685.9,688.75,1164817,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-11,SMD-0241,UPL,NSE:UPL-EQ,688.95,696.6,678.15,693.7,1129449,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-12,SMD-0241,UPL,NSE:UPL-EQ,693.7,696.0,686.05,688.65,1449415,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-13,SMD-0241,UPL,NSE:UPL-EQ,686.1,693.15,680.9,686.15,1062727,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-14,SMD-0241,UPL,NSE:UPL-EQ,684.2,693.9,681.0,683.75,1066750,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-18,SMD-0241,UPL,NSE:UPL-EQ,690.15,700.7,686.45,690.95,1319724,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-19,SMD-0241,UPL,NSE:UPL-EQ,697.5,709.45,693.0,707.3,2030825,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-20,SMD-0241,UPL,NSE:UPL-EQ,708.5,730.3,702.0,713.45,3114706,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-21,SMD-0241,UPL,NSE:UPL-EQ,717.05,718.55,710.2,712.45,2041917,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-22,SMD-0241,UPL,NSE:UPL-EQ,712.9,722.9,707.95,716.45,1635644,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-25,SMD-0241,UPL,NSE:UPL-EQ,717.2,741.0,713.5,722.8,4678348,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-26,SMD-0241,UPL,NSE:UPL-EQ,725.25,729.8,712.4,723.1,3299511,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-28,SMD-0241,UPL,NSE:UPL-EQ,736.5,736.5,713.45,716.7,3935173,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-08-29,SMD-0241,UPL,NSE:UPL-EQ,713.05,722.2,702.6,715.75,2472182,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-09-01,SMD-0241,UPL,NSE:UPL-EQ,715.7,730.65,711.8,727.95,1785815,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-09-02,SMD-0241,UPL,NSE:UPL-EQ,731.55,732.0,709.65,710.65,3003994,FYERS_HISTORY,2026-08-04T21:49:33+05:30
2025-09-03,SMD-0241,UPL,NSE:UPL-EQ,718.0,730.0,712.8,715.6,2196910,FYERS_HISTORY,2026-08-04T21:49:33+05:30
