trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0001,360ONE,NSE:360ONE-EQ,349.0,355.33,347.93,353.19,104036,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2021-12-28,SMD-0001,360ONE,NSE:360ONE-EQ,354.96,360.98,353.79,357.41,334008,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2021-12-29,SMD-0001,360ONE,NSE:360ONE-EQ,355.14,359.74,352.13,355.34,191960,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2021-12-30,SMD-0001,360ONE,NSE:360ONE-EQ,356.74,357.71,350.99,354.29,119144,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2021-12-31,SMD-0001,360ONE,NSE:360ONE-EQ,356.06,363.6,351.5,354.91,200700,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-03,SMD-0001,360ONE,NSE:360ONE-EQ,352.5,367.45,349.76,362.31,561384,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-04,SMD-0001,360ONE,NSE:360ONE-EQ,363.91,372.63,361.75,367.74,407392,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-05,SMD-0001,360ONE,NSE:360ONE-EQ,369.59,384.95,368.35,378.53,315716,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-06,SMD-0001,360ONE,NSE:360ONE-EQ,378.5,385.0,371.25,375.0,133336,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-07,SMD-0001,360ONE,NSE:360ONE-EQ,375.25,382.18,374.4,380.03,112232,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-10,SMD-0001,360ONE,NSE:360ONE-EQ,381.94,388.94,380.0,384.33,182644,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-11,SMD-0001,360ONE,NSE:360ONE-EQ,385.0,398.75,384.05,393.58,276956,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-12,SMD-0001,360ONE,NSE:360ONE-EQ,399.5,404.49,387.69,393.55,215572,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-13,SMD-0001,360ONE,NSE:360ONE-EQ,399.25,401.24,388.0,396.55,239436,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-14,SMD-0001,360ONE,NSE:360ONE-EQ,400.0,411.25,391.74,409.0,317052,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-17,SMD-0001,360ONE,NSE:360ONE-EQ,412.55,416.61,402.08,408.44,129644,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-18,SMD-0001,360ONE,NSE:360ONE-EQ,403.5,410.41,380.26,385.1,1181612,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-19,SMD-0001,360ONE,NSE:360ONE-EQ,385.0,402.5,383.5,398.86,202984,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-20,SMD-0001,360ONE,NSE:360ONE-EQ,395.0,411.25,392.25,407.69,181700,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-21,SMD-0001,360ONE,NSE:360ONE-EQ,407.5,412.63,396.31,407.18,213040,FYERS_HISTORY,2026-08-08T22:58:02+05:30
2022-01-24,SMD-0001,360ONE,NSE:360ONE-EQ,407.18,407.63,377.86,381.53,339476,FYERS_HISTORY,2026-08-08T22:58:02+05:30
