trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0003,ABB,NSE:ABB-EQ,1115.3,1131.9,1115.0,1118.9,19844,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2015-12-29,SMD-0003,ABB,NSE:ABB-EQ,1125.0,1126.0,1111.85,1116.6,46028,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2015-12-30,SMD-0003,ABB,NSE:ABB-EQ,1120.2,1122.55,1110.0,1113.4,16818,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2015-12-31,SMD-0003,ABB,NSE:ABB-EQ,1116.25,1124.5,1111.0,1114.5,21547,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-01,SMD-0003,ABB,NSE:ABB-EQ,1118.75,1125.0,1111.0,1116.45,16523,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-04,SMD-0003,ABB,NSE:ABB-EQ,1116.0,1125.85,1110.0,1120.15,57148,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-05,SMD-0003,ABB,NSE:ABB-EQ,1118.75,1135.35,1082.25,1094.55,69794,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-06,SMD-0003,ABB,NSE:ABB-EQ,1090.3,1104.9,1072.55,1077.6,32663,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-07,SMD-0003,ABB,NSE:ABB-EQ,1075.0,1079.9,1045.85,1053.45,32611,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-08,SMD-0003,ABB,NSE:ABB-EQ,1050.55,1070.0,1050.0,1055.55,26600,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-11,SMD-0003,ABB,NSE:ABB-EQ,1055.55,1055.6,1000.0,1006.85,51369,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-12,SMD-0003,ABB,NSE:ABB-EQ,1017.45,1045.0,1012.3,1026.35,42450,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-13,SMD-0003,ABB,NSE:ABB-EQ,1030.0,1044.0,1005.0,1019.85,47513,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-14,SMD-0003,ABB,NSE:ABB-EQ,1015.0,1030.0,1001.0,1013.6,26224,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-15,SMD-0003,ABB,NSE:ABB-EQ,1015.0,1029.7,1005.0,1013.65,27082,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-18,SMD-0003,ABB,NSE:ABB-EQ,1005.0,1018.3,991.0,1004.5,34454,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-19,SMD-0003,ABB,NSE:ABB-EQ,1010.0,1034.6,997.0,1019.45,29176,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-20,SMD-0003,ABB,NSE:ABB-EQ,1013.0,1018.0,981.0,993.6,22476,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-21,SMD-0003,ABB,NSE:ABB-EQ,1003.75,1014.2,956.6,964.5,25645,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-22,SMD-0003,ABB,NSE:ABB-EQ,970.25,988.25,955.2,968.2,32167,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-25,SMD-0003,ABB,NSE:ABB-EQ,980.0,993.9,965.0,981.05,41164,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-27,SMD-0003,ABB,NSE:ABB-EQ,985.0,985.0,970.0,973.3,25145,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-28,SMD-0003,ABB,NSE:ABB-EQ,972.05,978.95,963.5,968.95,21274,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-01-29,SMD-0003,ABB,NSE:ABB-EQ,967.9,979.0,962.0,971.1,18640,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-01,SMD-0003,ABB,NSE:ABB-EQ,979.5,1027.25,974.8,998.8,115262,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-02,SMD-0003,ABB,NSE:ABB-EQ,1000.2,1024.5,1000.2,1014.6,164683,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-03,SMD-0003,ABB,NSE:ABB-EQ,1000.0,1038.6,995.0,1005.9,45024,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-04,SMD-0003,ABB,NSE:ABB-EQ,1011.0,1198.0,1011.0,1151.55,1689560,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-05,SMD-0003,ABB,NSE:ABB-EQ,1147.0,1165.2,1111.0,1133.9,255185,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-08,SMD-0003,ABB,NSE:ABB-EQ,1134.0,1164.0,1080.0,1104.85,135560,FYERS_HISTORY,2026-08-08T22:36:00+05:30
2016-02-09,SMD-0003,ABB,NSE:ABB-EQ,1098.0,1157.0,1090.0,1121.25,199863,FYERS_HISTORY,2026-08-08T22:36:00+05:30
