trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0003,ABB,NSE:ABB-EQ,1034.05,1045.0,1020.0,1034.6,9847,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2016-12-28,SMD-0003,ABB,NSE:ABB-EQ,1046.0,1046.0,1026.0,1031.75,11908,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2016-12-29,SMD-0003,ABB,NSE:ABB-EQ,1042.8,1042.8,1022.0,1028.05,19096,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2016-12-30,SMD-0003,ABB,NSE:ABB-EQ,1032.05,1050.0,1030.1,1043.75,9832,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-02,SMD-0003,ABB,NSE:ABB-EQ,1056.8,1056.8,1035.0,1036.9,13985,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-03,SMD-0003,ABB,NSE:ABB-EQ,1040.2,1055.0,1037.05,1045.35,24275,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-04,SMD-0003,ABB,NSE:ABB-EQ,1054.0,1054.0,1037.0,1038.65,14219,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-05,SMD-0003,ABB,NSE:ABB-EQ,1049.7,1054.8,1031.2,1035.75,35700,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-06,SMD-0003,ABB,NSE:ABB-EQ,1044.95,1049.0,1033.5,1044.35,26378,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-09,SMD-0003,ABB,NSE:ABB-EQ,1054.0,1054.0,1034.5,1036.8,17897,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-10,SMD-0003,ABB,NSE:ABB-EQ,1039.0,1199.0,1029.15,1175.5,1148087,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-11,SMD-0003,ABB,NSE:ABB-EQ,1161.0,1169.4,1123.1,1132.5,380156,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-12,SMD-0003,ABB,NSE:ABB-EQ,1133.0,1149.5,1103.4,1125.3,133120,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-13,SMD-0003,ABB,NSE:ABB-EQ,1128.0,1144.95,1110.0,1132.5,65440,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-16,SMD-0003,ABB,NSE:ABB-EQ,1134.0,1140.0,1120.0,1126.2,42054,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-17,SMD-0003,ABB,NSE:ABB-EQ,1119.0,1132.95,1105.0,1111.55,36071,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-18,SMD-0003,ABB,NSE:ABB-EQ,1110.9,1149.0,1105.3,1147.15,140334,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-19,SMD-0003,ABB,NSE:ABB-EQ,1147.0,1160.0,1131.0,1149.55,69654,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-20,SMD-0003,ABB,NSE:ABB-EQ,1148.0,1148.0,1123.0,1131.85,29278,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-23,SMD-0003,ABB,NSE:ABB-EQ,1148.7,1148.7,1112.5,1117.7,28955,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-24,SMD-0003,ABB,NSE:ABB-EQ,1117.1,1128.2,1113.2,1116.05,54601,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-25,SMD-0003,ABB,NSE:ABB-EQ,1124.9,1127.9,1046.45,1105.8,63446,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-27,SMD-0003,ABB,NSE:ABB-EQ,1117.6,1123.9,1107.0,1110.65,33763,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-30,SMD-0003,ABB,NSE:ABB-EQ,1116.9,1122.0,1092.0,1103.0,32002,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-01-31,SMD-0003,ABB,NSE:ABB-EQ,1112.8,1115.0,1091.3,1095.8,45631,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-01,SMD-0003,ABB,NSE:ABB-EQ,1095.0,1123.95,1092.6,1108.55,41417,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-02,SMD-0003,ABB,NSE:ABB-EQ,1119.5,1129.9,1098.0,1107.3,76685,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-03,SMD-0003,ABB,NSE:ABB-EQ,1118.95,1118.95,1105.0,1106.55,20507,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-06,SMD-0003,ABB,NSE:ABB-EQ,1108.0,1141.9,1108.0,1125.15,100302,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-07,SMD-0003,ABB,NSE:ABB-EQ,1128.0,1194.95,1120.05,1183.15,377546,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-08,SMD-0003,ABB,NSE:ABB-EQ,1186.0,1212.0,1185.0,1207.65,185417,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-09,SMD-0003,ABB,NSE:ABB-EQ,1210.0,1230.0,1181.25,1225.6,353614,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-10,SMD-0003,ABB,NSE:ABB-EQ,1230.0,1265.0,1225.0,1258.0,183007,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-13,SMD-0003,ABB,NSE:ABB-EQ,1260.0,1260.0,1212.0,1220.55,60953,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-14,SMD-0003,ABB,NSE:ABB-EQ,1224.0,1226.0,1186.25,1193.6,41527,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-15,SMD-0003,ABB,NSE:ABB-EQ,1198.0,1198.1,1165.05,1170.4,41294,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-16,SMD-0003,ABB,NSE:ABB-EQ,1176.0,1236.0,1171.0,1227.3,181387,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-17,SMD-0003,ABB,NSE:ABB-EQ,1235.0,1239.5,1221.5,1231.8,64670,FYERS_HISTORY,2026-08-08T22:36:01+05:30
2017-02-20,SMD-0003,ABB,NSE:ABB-EQ,1239.4,1239.4,1223.1,1229.65,31581,FYERS_HISTORY,2026-08-08T22:36:01+05:30
