trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0003,ABB,NSE:ABB-EQ,2249.4,2267.75,2175.3,2195.5,134745,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2021-12-28,SMD-0003,ABB,NSE:ABB-EQ,2212.3,2258.9,2185.55,2207.1,182668,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2021-12-29,SMD-0003,ABB,NSE:ABB-EQ,2192.3,2250.55,2192.3,2226.6,182349,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2021-12-30,SMD-0003,ABB,NSE:ABB-EQ,2226.6,2245.05,2212.6,2235.4,197252,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2021-12-31,SMD-0003,ABB,NSE:ABB-EQ,2245.0,2283.75,2222.0,2233.6,198115,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-03,SMD-0003,ABB,NSE:ABB-EQ,2251.45,2268.6,2185.6,2205.45,113948,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-04,SMD-0003,ABB,NSE:ABB-EQ,2223.9,2237.65,2190.0,2219.75,353471,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-05,SMD-0003,ABB,NSE:ABB-EQ,2229.55,2249.9,2200.0,2226.2,222632,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-06,SMD-0003,ABB,NSE:ABB-EQ,2214.8,2287.75,2200.05,2225.25,423469,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-07,SMD-0003,ABB,NSE:ABB-EQ,2236.95,2263.95,2216.5,2227.1,111305,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-10,SMD-0003,ABB,NSE:ABB-EQ,2242.95,2296.7,2223.0,2280.9,289826,FYERS_HISTORY,2026-08-08T22:36:03+05:30
2022-01-11,SMD-0003,ABB,NSE:ABB-EQ,2282.0,2348.0,2270.3,2339.45,255404,FYERS_HISTORY,2026-08-08T22:36:03+05:30
