trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-09-01,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,250.0,255.0,237.5,237.5,4658997,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-04,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,225.65,225.65,225.65,225.65,309923,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-05,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,214.4,214.4,214.4,214.4,192377,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-06,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,203.7,203.7,203.7,203.7,267160,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-07,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,193.55,213.85,193.55,206.95,34241770,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-08,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,201.0,205.1,198.4,201.25,5412431,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-11,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,202.9,204.7,192.4,193.85,5588615,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-12,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,195.0,198.0,184.45,187.05,36566461,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-13,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,194.7,196.4,192.7,196.4,4592680,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-14,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,205.9,206.2,201.4,206.2,6454750,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-15,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,209.5,211.55,202.25,203.25,19039812,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-18,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,206.45,206.45,199.05,199.95,6389800,FYERS_HISTORY,2026-08-08T22:58:20+05:30
2017-09-19,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,200.0,203.9,197.7,198.65,4287615,FYERS_HISTORY,2026-08-08T22:58:20+05:30
