trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,187.5,187.52,183.9,184.35,1695642,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2024-12-27,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,184.9,186.95,183.03,183.24,1541103,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2024-12-30,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,183.98,185.13,179.37,180.07,2604716,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2024-12-31,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,179.79,180.95,177.11,177.82,2201025,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-01,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,178.2,179.5,176.82,179.0,1667032,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-02,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,179.8,184.77,179.41,183.89,3057307,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-03,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,184.0,186.39,183.61,184.45,2454842,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-06,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,184.74,185.5,175.28,176.27,3451591,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-07,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,177.4,180.35,176.0,179.83,2965351,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-08,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,180.0,180.0,175.61,178.91,1912030,FYERS_HISTORY,2026-08-08T22:58:24+05:30
2025-01-09,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,179.0,179.03,173.0,173.52,2507589,FYERS_HISTORY,2026-08-08T22:58:24+05:30
