trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,51.5,55.7,51.15,55.0,706040,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2016-12-28,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,55.6,56.25,54.5,55.7,642190,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2016-12-29,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,56.0,56.35,55.2,56.1,345025,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2016-12-30,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,56.5,58.4,55.8,56.75,1100000,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-02,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,57.0,57.75,56.3,57.1,314816,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-03,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,57.0,57.75,56.5,56.65,409531,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-04,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,56.5,59.25,56.5,57.9,862886,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-05,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,58.2,59.2,57.85,58.35,483472,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-06,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,58.9,58.9,56.8,57.15,457545,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-09,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,57.3,59.9,56.7,59.35,931414,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-10,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,59.85,59.9,58.55,59.15,634993,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-11,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,59.65,61.0,59.0,60.25,882206,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-12,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,60.5,60.85,58.55,58.9,668328,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-13,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,58.9,59.35,58.2,58.8,268457,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-16,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,58.85,59.45,58.1,58.75,290704,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-17,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,58.2,63.5,58.2,62.4,2215815,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-01-18,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,62.9,64.25,62.05,63.95,1477821,FYERS_HISTORY,2026-08-08T22:58:38+05:30
