trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,227.0,231.6,222.5,223.85,955956,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-12-28,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,224.7,226.5,218.9,222.2,1305203,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2017-12-29,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,223.9,228.65,219.4,224.15,959283,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-01,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,224.15,226.8,218.5,219.7,1005616,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-02,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,221.65,222.0,207.2,210.5,1147294,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-03,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,212.8,217.45,210.0,212.0,900926,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-04,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,214.1,215.45,211.5,212.6,979025,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-05,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,214.1,215.0,208.15,209.65,1147372,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-08,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,211.95,213.0,208.65,210.95,981657,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-09,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,212.5,214.0,209.35,212.1,911476,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-10,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,213.0,221.4,209.65,214.15,1079707,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-11,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,215.85,222.75,213.8,218.25,931263,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-12,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,219.0,225.0,218.4,220.35,988880,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-15,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,222.0,227.0,220.8,223.85,949054,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-16,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,224.35,228.45,219.0,223.9,1020929,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-17,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,224.9,235.0,221.05,231.1,1750126,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-18,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,251.0,254.2,221.05,227.75,2368055,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-19,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,226.1,232.45,222.15,228.35,892009,FYERS_HISTORY,2026-08-08T22:58:38+05:30
2018-01-22,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,225.1,230.0,221.9,227.3,868153,FYERS_HISTORY,2026-08-08T22:58:38+05:30
