trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,605.93,623.18,602.34,618.97,169096,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2010-12-30,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,629.2,678.64,610.82,627.94,587124,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2010-12-31,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,630.17,635.16,628.23,630.07,219407,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-03,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,635.01,639.67,625.32,628.95,130446,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-04,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,630.17,635.98,626.58,630.5,176412,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-05,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,625.32,639.67,621.88,632.15,216009,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-06,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,636.03,654.21,601.18,624.74,6785741,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-07,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,627.01,635.98,604.13,608.93,252466,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-10,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,616.98,628.03,563.08,566.71,2549213,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-11,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,572.0,593.32,567.92,585.18,799746,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-12,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,590.42,606.9,590.42,600.64,2179306,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-13,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,604.23,629.68,603.21,623.96,1831214,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-14,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,620.47,629.2,613.68,622.31,603719,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-17,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,617.56,625.32,585.23,590.76,527343,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-18,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,600.11,611.75,590.42,603.8,2750246,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-19,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,605.93,616.35,595.85,609.85,532141,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-20,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,607.87,625.32,599.29,610.19,357386,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-21,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,610.19,619.79,609.08,616.74,1121685,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-24,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,616.59,621.39,611.75,616.35,139829,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-25,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,617.56,623.28,598.27,601.08,364939,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-27,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,606.03,608.55,590.51,593.57,475713,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-28,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,591.39,595.26,555.47,559.2,877557,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-01-31,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,552.61,558.81,534.23,546.98,830432,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-01,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,547.76,561.57,528.03,548.63,594002,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-02,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,552.61,578.69,552.61,565.55,534676,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-03,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,565.16,595.26,561.48,590.8,231179,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-04,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,591.39,599.82,579.56,583.78,359273,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-07,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,572.67,591.39,564.24,570.25,705097,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-08,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,576.84,583.58,544.51,567.83,3880297,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-09,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,568.99,577.57,551.06,564.43,575266,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-10,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,563.27,576.84,552.75,564.58,633624,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-11,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,561.87,571.03,556.73,566.62,321383,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-14,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,568.12,593.32,567.15,585.62,248892,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-15,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,591.53,596.23,567.92,587.51,291460,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-16,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,592.21,609.32,584.65,607.04,207400,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-17,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,608.93,615.33,605.2,608.69,160208,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-18,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,606.8,617.27,598.66,600.64,278105,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-21,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,602.97,612.67,597.2,608.93,134899,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-22,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,605.93,622.89,601.08,608.3,223182,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-23,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,602.49,607.67,588.09,592.21,500004,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-24,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,592.36,592.36,570.06,574.42,419933,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-25,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,569.62,581.69,535.35,577.18,585358,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-02-28,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,566.23,608.35,566.23,592.45,316722,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-01,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,602.44,604.96,595.75,598.8,398689,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-03,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,586.54,601.08,581.64,587.27,528552,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-04,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,599.14,600.79,579.75,581.3,310645,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-07,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.64,585.57,572.0,575.39,655376,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-08,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,578.78,584.16,573.74,575.68,829291,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-09,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,577.23,584.5,573.01,574.76,423630,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-10,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,574.81,579.46,574.76,576.5,216323,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-11,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,576.84,578.35,568.12,576.26,295878,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-14,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,576.21,588.14,575.39,585.42,388225,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-15,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,576.55,583.58,569.77,581.5,493832,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-16,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,580.24,588.43,580.24,581.74,313630,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-17,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.69,583.58,579.75,581.93,259640,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-18,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.74,592.36,576.26,582.22,310060,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-21,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.74,583.34,574.42,581.16,187926,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-22,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,576.89,585.91,576.89,581.69,212661,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-23,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.69,583.73,578.83,581.45,566616,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-24,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,577.18,584.36,577.18,581.5,145785,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-25,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,581.64,591.29,579.85,582.32,357296,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-28,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,583.68,586.05,579.75,581.84,184561,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-29,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,582.66,598.9,579.95,594.92,584382,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-30,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,602.83,618.53,596.04,611.6,322515,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-03-31,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,619.45,664.1,613.1,646.21,1191130,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-01,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,645.68,647.81,632.4,640.83,203976,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-04,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,649.51,656.78,637.73,643.4,226039,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-05,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,649.55,649.55,639.86,645.92,138632,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-06,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,644.76,648.1,633.07,639.18,175682,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-07,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,644.61,644.61,629.39,632.15,274081,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-08,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,635.01,635.01,617.61,629.05,207066,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-11,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,633.95,633.95,623.52,629.49,123409,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-13,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,630.17,634.72,624.54,629.73,178100,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-15,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,628.23,632.01,621.63,623.96,89821,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-18,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,624.78,629.34,609.52,616.59,383206,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-19,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,621.92,626.14,601.08,618.73,88850,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-20,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,620.47,635.01,608.84,630.65,214359,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-21,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,635.01,636.61,627.64,629.68,706068,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-25,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,629.15,631.04,619.55,623.77,76693,FYERS_HISTORY,2026-08-08T22:36:24+05:30
2011-04-26,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,627.94,627.94,606.07,617.66,118074,FYERS_HISTORY,2026-08-08T22:36:24+05:30
