trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,158.03,164.18,157.44,160.89,8799558,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2017-12-28,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,160.93,162.1,158.51,160.21,3638695,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2017-12-29,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,159.97,163.12,158.9,161.27,4141714,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-01,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,160.74,164.67,159.97,160.98,4091610,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-02,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,161.03,162.29,157.2,158.9,2629286,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-03,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,158.9,174.75,158.9,170.82,20619683,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-04,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,170.63,179.55,168.84,177.71,12033127,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-05,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,179.16,188.37,176.83,187.26,11170177,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-08,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,186.72,194.87,186.43,190.46,8002036,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-09,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,191.96,192.88,188.18,189.92,4571569,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-10,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,190.12,197.63,190.02,192.73,11311241,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-11,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,191.96,197.48,189.58,195.55,5408888,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-12,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,195.84,197.53,188.32,193.85,5059689,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-15,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,194.87,196.03,191.28,192.15,2881184,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-16,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,192.64,193.02,182.46,188.66,7107551,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-17,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,188.27,199.42,182.17,198.31,9183477,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-18,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,199.71,201.17,182.94,189.29,12838705,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-19,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,189.29,194.87,182.8,193.61,13604674,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-22,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,191.96,196.18,190.02,192.83,5564955,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-23,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,193.32,198.99,190.12,198.16,7331102,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-24,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,198.07,201.22,193.9,199.23,7567573,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-25,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,198.74,209.17,195.64,207.86,12829767,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-29,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,209.02,213.77,204.17,206.84,7729982,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-30,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,204.56,207.03,201.17,204.85,4159312,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-01-31,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,203.54,212.07,202.77,206.69,7496464,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-02-01,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,206.5,210.43,197.48,207.47,4755974,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-02-02,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,206.5,206.5,189.15,191.18,6734244,FYERS_HISTORY,2026-08-08T22:36:27+05:30
2018-02-05,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,179.45,194.87,178.09,193.36,6247127,FYERS_HISTORY,2026-08-08T22:36:27+05:30
