trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.07,54.27,52.44,52.75,679812,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2004-12-31,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,53.73,54.12,48.8,53.73,451927,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-03,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.0,54.53,53.68,54.4,401880,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-04,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.65,57.12,54.41,56.88,989947,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-05,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,56.8,58.72,54.07,56.75,1937440,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-06,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,56.33,57.53,54.93,55.59,1248585,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-07,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,56.0,57.2,56.0,56.97,1101752,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-10,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,57.07,57.99,49.71,55.71,976665,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-11,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,55.87,56.2,53.68,53.95,1248066,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-12,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.39,55.7,52.96,53.63,1484770,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-13,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.27,57.33,53.8,56.63,1694771,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-14,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,57.71,58.52,56.05,56.73,1942685,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-17,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,57.33,58.27,55.81,57.93,1485812,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-18,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,58.49,59.23,58.27,58.85,1596025,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-19,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,58.0,59.92,58.0,59.37,1230835,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-20,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,59.6,59.6,55.67,56.46,4597171,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-24,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,59.33,59.33,54.43,55.26,2037112,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-25,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,54.92,55.67,53.89,55.41,847148,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-27,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,55.6,56.13,54.85,55.91,835533,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-28,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,56.07,60.0,56.0,59.67,1577430,FYERS_HISTORY,2026-08-08T22:37:06+05:30
2005-01-31,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,59.87,62.4,59.6,59.9,1381707,FYERS_HISTORY,2026-08-08T22:37:06+05:30
