trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,33.84,34.28,33.45,33.69,1468990,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2020-12-29,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,33.8,34.19,33.5,33.69,2232650,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2020-12-30,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.3,34.4,32.95,33.24,3512950,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2020-12-31,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,33.4,33.95,33.15,33.81,1647910,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-01,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,33.8,34.12,33.47,33.67,1256100,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-04,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.2,35.67,33.7,34.5,6442920,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-05,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.49,35.77,33.93,35.44,8432350,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-06,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.55,36.1,34.87,35.3,3440670,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-07,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.51,37.0,35.23,36.13,3723620,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-08,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.5,37.58,36.2,36.4,4049860,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-11,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.55,36.96,35.27,35.69,2157760,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-12,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.6,36.7,35.6,36.08,1437890,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-13,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.3,36.69,34.7,34.88,2560080,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-14,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.9,36.0,34.9,35.57,4614880,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-15,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.6,35.88,34.8,34.91,951570,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-18,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.18,35.3,34.58,34.6,982250,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-19,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.84,35.5,34.84,35.39,908230,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-20,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.15,35.88,35.15,35.69,836130,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-21,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.9,37.0,35.66,35.97,2412730,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-22,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.19,37.05,35.86,36.55,2497830,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-25,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.88,36.98,35.1,36.63,875820,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-27,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.62,37.0,35.58,36.7,1447520,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-28,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,36.6,37.3,36.09,36.92,1097030,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-01-29,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,37.5,37.79,33.73,34.25,7126780,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-01,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.23,34.23,32.09,33.52,3789600,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-02,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.2,35.9,33.62,33.85,5002370,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-03,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.35,35.6,34.31,34.72,1698870,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-04,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,35.0,36.0,34.8,34.89,1322270,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-05,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.4,35.31,33.72,33.92,1760120,FYERS_HISTORY,2026-08-08T23:00:36+05:30
2021-02-08,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,34.18,34.65,33.94,34.52,2092250,FYERS_HISTORY,2026-08-08T23:00:36+05:30
