trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,469.8,473.0,463.6,466.55,47115,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2010-12-30,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,468.0,474.9,465.0,469.55,43063,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2010-12-31,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,469.8,473.0,450.0,455.25,108344,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-03,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,459.0,469.95,458.0,465.6,51291,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-04,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,466.0,470.0,458.1,461.8,31894,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-05,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,460.8,462.8,455.0,456.65,18319,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-06,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,462.9,469.0,450.0,453.15,33640,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-07,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,454.4,474.0,449.0,458.9,50411,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-10,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,457.8,506.45,451.05,473.65,258600,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-11,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,475.0,488.4,465.1,469.3,90404,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-12,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,472.4,481.05,468.1,471.45,47924,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-13,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,474.8,475.0,462.5,466.6,14716,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-14,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,468.0,480.0,465.0,470.7,24040,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-17,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,470.25,472.95,465.1,466.85,11257,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-18,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,468.8,483.5,466.0,479.05,60084,FYERS_HISTORY,2026-08-08T22:37:35+05:30
2011-01-19,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,482.0,482.0,472.0,474.5,18723,FYERS_HISTORY,2026-08-08T22:37:35+05:30
