trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,38.25,39.2,37.53,39.03,14082060,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2016-12-28,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,39.25,39.35,38.9,39.13,11412446,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2016-12-29,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,38.63,39.7,38.63,39.5,15665996,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2016-12-30,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,39.95,40.45,39.83,40.05,27080718,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-02,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,40.25,40.75,39.58,40.5,25647200,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-03,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,40.7,40.78,40.23,40.53,15220412,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-04,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,40.75,42.28,40.63,41.93,28296438,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-05,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.33,42.48,41.4,41.98,20949666,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-06,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.1,42.85,41.58,42.65,21016898,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-09,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.93,42.93,42.3,42.48,9328962,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-10,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.6,42.65,42.1,42.48,7207968,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-11,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.5,43.15,42.48,42.8,8410462,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-12,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.75,42.8,41.9,42.15,8252824,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-13,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.15,42.6,41.68,42.28,12585816,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-16,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.05,43.05,42.03,42.8,8838548,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-17,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.0,43.43,42.68,42.98,8589238,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-18,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,42.95,43.55,42.53,43.45,15844820,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-19,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.45,43.83,43.1,43.53,12603802,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-20,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.35,43.7,42.63,42.78,12476736,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-23,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.08,43.35,42.7,43.15,8002430,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-24,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.18,44.5,43.18,44.35,20648792,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-25,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,44.5,44.68,43.15,43.28,40299658,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-27,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,43.3,46.38,43.3,46.23,75995160,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-30,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,45.88,46.58,45.65,46.03,21032978,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-01-31,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,45.88,45.93,44.85,45.38,20637324,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-01,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,45.8,46.55,45.3,46.08,41188170,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-02,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,46.5,47.55,45.78,47.43,33178576,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-03,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.5,47.85,46.85,47.25,19406828,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-06,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.25,47.98,47.25,47.55,19768946,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-07,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.5,47.68,46.45,47.03,18061168,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-08,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.65,48.5,46.9,47.68,34301398,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-09,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,48.1,48.38,47.2,47.65,16802908,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-10,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.85,47.85,46.2,46.48,24153924,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-13,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,46.68,46.8,45.7,46.05,14008510,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-14,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,45.95,46.4,45.33,46.18,11612030,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-15,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,46.23,47.3,45.65,46.6,30822982,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-16,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,46.75,47.2,46.35,47.13,12492862,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-17,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.13,47.45,46.63,46.95,8335774,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-20,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,46.95,47.38,46.6,47.25,8707838,FYERS_HISTORY,2026-08-08T22:37:51+05:30
2017-02-21,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,47.4,48.0,47.0,47.55,13406276,FYERS_HISTORY,2026-08-08T22:37:51+05:30
