trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,68.93,71.08,67.6,70.65,16031864,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2022-12-27,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,71.0,71.3,70.1,70.93,12797392,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2022-12-28,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,70.85,72.45,70.5,71.9,16703036,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2022-12-29,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,71.0,72.35,71.0,72.2,11263828,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2022-12-30,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,72.4,72.6,71.5,71.7,9777798,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-02,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.28,74.5,72.6,74.33,32112582,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-03,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,74.45,74.78,73.03,73.7,15773432,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-04,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.7,73.97,72.3,72.9,22666864,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-05,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.1,74.38,72.7,74.22,18730980,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-06,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,74.22,75.13,73.68,73.88,19808390,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-09,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,74.38,75.93,74.0,75.68,27144598,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-10,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,75.68,76.4,75.28,75.95,17667926,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-11,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,76.0,76.13,74.3,74.72,17061884,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-12,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,74.72,75.3,73.0,73.4,16282306,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-13,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.78,74.05,73.18,73.53,22668606,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-16,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.8,73.88,73.15,73.38,15269890,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-17,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.5,73.72,72.68,73.43,12890106,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-18,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.5,74.05,73.1,73.7,15281354,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-19,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.58,73.75,72.75,72.97,9116758,FYERS_HISTORY,2026-08-08T22:37:54+05:30
2023-01-20,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,73.1,73.15,71.88,72.03,14639268,FYERS_HISTORY,2026-08-08T22:37:54+05:30
