trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,32.5,33.75,32.5,33.48,98576,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-01,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,33.1,34.3,33.1,33.62,47674,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-02,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,33.91,34.0,33.2,33.51,33480,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-05,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,33.9,34.6,33.5,34.05,77308,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-06,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.0,34.38,32.35,32.83,54203,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-07,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,33.2,33.35,32.6,32.9,37197,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-08,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,32.65,33.8,32.65,33.67,39362,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-09,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,35.0,36.1,32.01,33.95,38327,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-12,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.0,34.2,33.1,34.01,86940,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-13,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.2,34.45,33.2,34.15,53574,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-14,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.1,34.4,34.1,34.28,16059,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-15,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.5,34.5,34.0,34.33,55777,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-16,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.3,34.3,33.5,34.01,24423,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-19,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.01,34.01,33.1,33.7,14941,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-20,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,34.0,34.19,33.02,33.59,30376,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-21,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,33.0,34.0,31.8,32.84,34176,FYERS_HISTORY,2026-08-08T22:37:58+05:30
2004-01-22,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,32.1,33.5,31.43,32.07,23053,FYERS_HISTORY,2026-08-08T22:37:58+05:30
