trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3280.1,3284.75,3226.2,3272.4,640701,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2021-12-28,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3275.95,3375.0,3273.0,3368.2,1211648,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2021-12-29,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3372.2,3386.0,3346.2,3367.45,598421,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2021-12-30,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3363.25,3390.0,3350.3,3365.7,691223,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2021-12-31,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3390.0,3405.0,3361.4,3382.95,570671,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-03,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3383.0,3440.9,3383.0,3422.4,696276,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-04,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3434.0,3472.45,3415.05,3459.3,790886,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-05,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3470.0,3540.0,3452.05,3526.8,1024506,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-06,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3491.15,3537.55,3452.15,3514.65,1312743,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-07,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3514.65,3582.0,3496.55,3576.3,964364,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-10,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3580.0,3590.0,3527.0,3553.5,657511,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-11,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3550.6,3564.0,3495.05,3538.75,734344,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-12,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3556.9,3582.45,3534.0,3543.8,594543,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-13,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3560.0,3560.0,3450.0,3456.25,1153984,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-14,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3462.0,3462.0,3346.0,3364.4,1558978,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-17,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3364.4,3399.0,3321.0,3378.65,1103159,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-18,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3379.05,3396.45,3351.0,3373.7,558543,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-19,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3370.0,3370.0,3267.75,3280.4,1495218,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-20,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3282.0,3364.9,3222.0,3306.4,3075678,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-21,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3300.05,3324.95,3241.75,3274.85,1441694,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-24,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3268.0,3270.0,3135.0,3155.15,1575665,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-25,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3100.0,3156.95,3010.75,3147.1,2699779,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-27,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3140.1,3143.0,3071.25,3116.95,1834684,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-28,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3130.0,3170.0,3103.0,3110.85,892060,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-01-31,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3140.0,3193.45,3136.4,3152.25,944530,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-01,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3194.0,3212.35,3141.6,3196.25,1008915,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-02,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3204.8,3244.15,3192.15,3197.7,667265,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-03,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3212.85,3241.6,3190.2,3203.0,899753,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-04,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3188.0,3248.8,3176.05,3236.65,705765,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-07,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3234.0,3251.2,3143.1,3174.7,860393,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-08,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3179.0,3223.5,3166.2,3216.35,799206,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-09,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3230.0,3259.0,3222.75,3228.35,472725,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-10,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3220.0,3248.0,3176.0,3238.75,728666,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-11,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3229.95,3229.95,3182.5,3216.3,587840,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-14,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3140.0,3182.7,3120.0,3143.45,681236,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-15,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3140.0,3270.0,3132.85,3264.6,676844,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-16,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3280.0,3285.1,3223.0,3252.85,624320,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-17,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3273.0,3294.95,3236.4,3265.85,636735,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-18,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3236.15,3272.0,3230.05,3258.45,423801,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-21,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3235.0,3278.45,3204.15,3251.65,547472,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-22,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3120.0,3236.8,3120.0,3227.15,1147209,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-23,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3236.9,3296.9,3230.0,3237.2,935896,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-24,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3130.0,3197.8,3051.5,3069.05,1823450,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-25,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3105.0,3141.45,3083.05,3119.2,1239456,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-02-28,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3090.0,3190.5,3015.0,3174.65,1678348,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-02,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3107.0,3111.2,2991.1,3028.95,3014206,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-03,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3029.0,3051.0,2862.0,2871.9,4406840,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-04,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2863.8,2863.8,2662.05,2738.15,6979253,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-07,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2649.9,2727.95,2599.35,2708.45,3233760,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-08,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2690.0,2736.95,2638.0,2723.4,2611102,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-09,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2750.0,2890.0,2665.05,2874.95,4076068,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-10,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,3000.0,3040.0,2891.2,2912.8,3971987,FYERS_HISTORY,2026-08-08T22:38:07+05:30
2022-03-11,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2917.0,2939.95,2882.35,2932.0,1265493,FYERS_HISTORY,2026-08-08T22:38:07+05:30
