trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0022,AUBANK,NSE:AUBANK-EQ,554.6,557.85,546.2,548.3,1104075,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2024-12-27,SMD-0022,AUBANK,NSE:AUBANK-EQ,548.75,554.55,547.25,552.2,481188,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2024-12-30,SMD-0022,AUBANK,NSE:AUBANK-EQ,552.0,591.5,546.55,577.2,6457071,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2024-12-31,SMD-0022,AUBANK,NSE:AUBANK-EQ,561.95,563.9,546.55,559.1,3366983,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-01,SMD-0022,AUBANK,NSE:AUBANK-EQ,556.0,573.95,554.4,568.55,2127349,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-02,SMD-0022,AUBANK,NSE:AUBANK-EQ,569.75,572.45,562.05,571.0,1440790,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-03,SMD-0022,AUBANK,NSE:AUBANK-EQ,568.3,585.0,568.3,573.55,2403193,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-06,SMD-0022,AUBANK,NSE:AUBANK-EQ,590.9,592.55,553.25,560.25,3254239,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-07,SMD-0022,AUBANK,NSE:AUBANK-EQ,561.9,570.25,560.5,567.9,1344308,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-08,SMD-0022,AUBANK,NSE:AUBANK-EQ,567.9,569.8,556.55,566.45,2126970,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-09,SMD-0022,AUBANK,NSE:AUBANK-EQ,566.95,573.4,563.45,570.05,3212356,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-10,SMD-0022,AUBANK,NSE:AUBANK-EQ,570.05,583.0,563.8,575.15,4737367,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-13,SMD-0022,AUBANK,NSE:AUBANK-EQ,569.95,571.95,554.65,560.3,3711095,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-14,SMD-0022,AUBANK,NSE:AUBANK-EQ,564.05,581.65,564.0,575.1,3979231,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-15,SMD-0022,AUBANK,NSE:AUBANK-EQ,576.95,587.95,574.45,586.95,1782010,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-16,SMD-0022,AUBANK,NSE:AUBANK-EQ,590.8,611.35,590.0,603.4,4767863,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-17,SMD-0022,AUBANK,NSE:AUBANK-EQ,603.0,606.2,595.0,597.6,2053876,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-20,SMD-0022,AUBANK,NSE:AUBANK-EQ,599.0,608.35,592.4,606.0,1784772,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-21,SMD-0022,AUBANK,NSE:AUBANK-EQ,606.0,611.0,597.1,606.7,1339636,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-22,SMD-0022,AUBANK,NSE:AUBANK-EQ,606.0,608.45,599.05,604.4,1367058,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-23,SMD-0022,AUBANK,NSE:AUBANK-EQ,604.0,605.35,572.6,582.4,1940763,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-24,SMD-0022,AUBANK,NSE:AUBANK-EQ,578.45,609.0,567.5,594.65,5080264,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-27,SMD-0022,AUBANK,NSE:AUBANK-EQ,560.0,570.0,544.0,563.45,9781045,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-28,SMD-0022,AUBANK,NSE:AUBANK-EQ,574.0,597.25,566.55,588.7,6984979,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-29,SMD-0022,AUBANK,NSE:AUBANK-EQ,588.0,603.6,588.0,595.95,2890746,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-30,SMD-0022,AUBANK,NSE:AUBANK-EQ,596.2,607.0,585.0,596.15,6891318,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-01-31,SMD-0022,AUBANK,NSE:AUBANK-EQ,595.0,603.5,589.25,600.95,2734757,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-01,SMD-0022,AUBANK,NSE:AUBANK-EQ,605.0,608.0,593.55,601.05,1038048,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-03,SMD-0022,AUBANK,NSE:AUBANK-EQ,595.0,610.15,591.4,608.9,1844807,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-04,SMD-0022,AUBANK,NSE:AUBANK-EQ,608.9,617.95,596.05,599.85,2815689,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-05,SMD-0022,AUBANK,NSE:AUBANK-EQ,604.0,604.0,591.5,595.6,1869312,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-06,SMD-0022,AUBANK,NSE:AUBANK-EQ,597.05,600.0,582.0,586.25,1371142,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-07,SMD-0022,AUBANK,NSE:AUBANK-EQ,587.45,604.0,582.55,592.1,3491670,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-10,SMD-0022,AUBANK,NSE:AUBANK-EQ,591.0,591.0,575.1,579.75,1064051,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-11,SMD-0022,AUBANK,NSE:AUBANK-EQ,580.0,584.0,570.0,570.7,3445667,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-12,SMD-0022,AUBANK,NSE:AUBANK-EQ,571.5,571.5,551.15,554.4,4264400,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-13,SMD-0022,AUBANK,NSE:AUBANK-EQ,555.35,558.0,544.7,553.05,2284376,FYERS_HISTORY,2026-08-08T23:01:37+05:30
2025-02-14,SMD-0022,AUBANK,NSE:AUBANK-EQ,554.05,559.5,530.75,534.9,3173724,FYERS_HISTORY,2026-08-08T23:01:37+05:30
