trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2012-12-28,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,95.33,96.48,94.63,95.45,1070114,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2012-12-31,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,95.5,96.23,94.35,94.7,1062688,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-01,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,94.88,97.13,94.88,96.73,963398,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-02,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,97.5,101.4,96.93,100.85,3198555,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-03,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,101.0,102.38,100.58,101.1,2205717,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-04,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,100.48,101.63,99.05,100.83,2171068,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-07,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,101.0,102.45,100.0,100.8,1489363,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-08,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,100.98,101.25,98.9,100.35,1164822,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-09,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,100.5,101.35,97.18,98.25,1273017,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-10,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,98.5,99.08,93.9,95.43,1959397,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-11,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,95.5,96.15,91.58,92.25,1378259,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-14,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,92.48,96.9,92.25,96.03,1939223,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-15,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,96.15,98.25,95.15,96.43,1482668,FYERS_HISTORY,2026-08-08T22:38:28+05:30
2013-01-16,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,96.25,97.43,93.35,94.23,1993099,FYERS_HISTORY,2026-08-08T22:38:28+05:30
