trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,431.1,438.9,431.1,437.65,4694669,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2016-12-28,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,439.7,448.25,438.0,440.05,5072550,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2016-12-29,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,442.0,445.9,437.7,444.25,6082573,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2016-12-30,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,445.5,452.2,445.05,449.95,4616817,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-02,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,451.4,452.0,441.25,447.75,3054394,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-03,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,449.6,457.8,443.5,455.25,4621782,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-04,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,455.0,460.0,451.95,453.1,3703873,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-05,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,454.6,463.9,453.25,458.05,5829373,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-06,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,459.7,461.8,454.05,455.2,4431212,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-09,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,456.9,459.35,451.55,452.75,2690456,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-10,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,455.5,456.05,424.4,447.35,9436151,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-11,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,451.85,457.55,448.2,453.6,5678047,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-12,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,454.2,461.4,452.6,455.2,5106342,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-13,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,457.0,475.2,455.2,472.8,12693510,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-16,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,472.5,480.5,468.3,477.25,7430300,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-17,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,477.3,488.2,476.95,487.2,11331156,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-18,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,487.15,491.7,483.25,488.5,8789347,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-19,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,486.7,487.9,479.3,483.8,7688347,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-20,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,458.0,461.4,448.0,450.75,30189779,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-23,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,445.25,448.95,441.1,445.0,16502895,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-24,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,447.8,452.55,445.3,451.25,7103963,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-25,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,452.0,465.1,452.0,463.55,14328065,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-27,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,465.25,478.85,465.25,472.85,8821164,FYERS_HISTORY,2026-08-08T22:38:43+05:30
2017-01-30,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,472.0,476.6,470.85,471.9,4525720,FYERS_HISTORY,2026-08-08T22:38:43+05:30
