trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8810.0,8898.65,8797.6,8878.5,240675,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2024-12-27,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8896.25,9179.15,8896.25,8928.3,713799,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2024-12-30,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8928.0,8962.45,8737.55,8779.9,1065253,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2024-12-31,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8770.0,8839.75,8740.15,8798.6,294554,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-01,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8754.05,8767.0,8551.0,8740.55,558535,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-02,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8740.5,9107.3,8677.55,9079.5,734590,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-03,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,9100.0,9109.95,8945.0,8965.7,337802,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-06,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,9004.95,9093.9,8795.0,8823.85,238306,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-07,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8870.0,8887.95,8735.1,8810.3,270785,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-08,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8776.0,8830.95,8612.0,8642.25,415288,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-09,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8719.95,8898.0,8692.1,8835.85,612457,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-10,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8832.45,8855.0,8642.1,8764.0,350859,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-13,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8704.5,8749.9,8551.0,8596.25,341577,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-14,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8620.0,8698.0,8525.0,8611.2,355464,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-15,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8623.9,8799.0,8561.3,8578.0,347402,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-16,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8621.0,8639.9,8549.7,8581.95,290855,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-17,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8565.85,8666.6,8531.3,8581.4,183057,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-20,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8600.0,8609.6,8462.7,8544.4,294136,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-21,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8582.45,8608.8,8412.1,8468.55,343149,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-22,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8480.8,8534.95,8395.0,8460.85,344305,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-23,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8439.15,8502.2,8375.65,8399.95,347894,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-24,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8414.4,8489.95,8360.0,8401.5,232317,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-27,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8378.05,8418.95,8290.35,8384.6,324406,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-28,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8426.45,8489.0,8361.35,8398.4,651069,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-29,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8420.15,8807.0,8420.15,8625.85,802600,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-30,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8659.95,8824.3,8602.5,8747.8,322587,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-01-31,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8800.0,8959.9,8744.05,8847.8,315913,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-01,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8887.9,9178.0,8806.3,9155.6,418755,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-03,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,9150.0,9150.0,8886.55,8926.55,667412,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-04,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8950.0,9059.65,8877.6,8911.4,440468,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-05,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8930.0,8968.0,8895.0,8927.8,329075,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-06,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8922.0,8961.65,8811.0,8846.35,580590,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-07,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8890.55,9026.0,8851.05,8989.4,244178,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-10,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8989.4,9069.8,8845.85,8880.55,192650,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-11,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8830.0,8877.45,8732.55,8762.0,282926,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-12,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8732.0,8819.4,8647.0,8711.6,411042,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-13,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8715.05,8777.05,8651.45,8691.35,206920,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-14,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8700.0,8722.7,8419.9,8506.5,369356,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-17,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8494.0,8552.05,8382.65,8537.15,224417,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-18,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8510.1,8550.0,8390.45,8446.6,206278,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-19,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8440.05,8527.7,8405.05,8479.5,200819,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-20,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8459.95,8640.0,8459.9,8630.2,188845,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-21,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8550.0,8614.0,8450.0,8506.05,222132,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-24,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8450.5,8488.45,8341.6,8446.95,275998,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-25,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8450.0,8468.1,8365.05,8417.9,237383,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-27,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8360.1,8413.95,8183.4,8232.35,350992,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-02-28,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8234.75,8234.75,7886.3,7902.9,580155,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-03,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7934.95,7998.3,7679.6,7714.8,497052,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-04,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7652.1,7680.0,7317.05,7333.3,1078953,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-05,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7332.2,7443.3,7301.0,7420.3,749464,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-06,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7481.0,7500.0,7376.95,7462.25,917093,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-07,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7462.25,7624.0,7451.1,7574.75,942308,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-10,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7573.0,7573.0,7352.0,7383.4,495241,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-11,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7355.5,7515.95,7328.0,7499.95,412703,FYERS_HISTORY,2026-08-08T23:01:57+05:30
2025-03-12,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,7499.95,7569.0,7429.85,7515.05,529286,FYERS_HISTORY,2026-08-08T23:01:57+05:30
