trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,32.43,32.74,32.0,32.43,291510,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2009-12-30,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,32.52,33.11,32.42,32.98,1005750,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2009-12-31,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.11,34.72,33.01,33.95,4837800,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-04,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.33,35.49,34.02,35.32,2426610,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-05,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,35.86,36.52,35.08,35.39,1921430,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-06,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,35.37,35.57,34.4,34.56,678930,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-07,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.58,35.07,34.09,34.29,469400,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-08,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.68,35.2,34.19,34.39,529370,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-11,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.84,34.93,34.14,34.54,1356850,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-12,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.87,35.06,33.5,33.71,1195290,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-13,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.4,33.49,32.82,33.35,933070,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-14,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.6,33.99,33.31,33.42,605510,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-15,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.5,34.48,33.24,33.75,706310,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-18,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.08,34.18,33.08,34.03,353200,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-19,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.09,35.03,34.09,34.66,1040560,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-20,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.58,34.99,34.15,34.6,480020,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-21,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.29,34.88,33.9,34.19,674490,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-22,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.27,34.73,32.92,34.24,678410,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-25,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,34.38,34.48,33.4,33.74,613340,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-27,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.4,33.7,31.61,32.01,1195450,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-28,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.35,33.35,31.05,31.53,365830,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-01-29,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,31.23,31.68,30.49,31.3,392010,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-01,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,31.3,33.5,30.95,32.42,3184430,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-02,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,32.91,33.38,32.04,32.46,1088870,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-03,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,31.83,33.5,31.83,33.23,1368670,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-04,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.4,33.65,33.11,33.39,3138230,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-05,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,31.44,34.38,31.44,34.08,599310,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-06,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.6,34.17,33.6,33.77,57040,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-08,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.9,35.53,33.8,35.32,1042350,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-09,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,35.32,35.32,34.18,34.25,490450,FYERS_HISTORY,2026-08-08T23:02:05+05:30
2010-02-10,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,35.17,35.17,33.2,33.51,165840,FYERS_HISTORY,2026-08-08T23:02:05+05:30
