trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,43.01,43.73,42.45,43.45,395690,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2011-12-30,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,43.72,44.21,41.56,42.17,495410,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-02,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,42.54,42.55,41.08,41.27,182840,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-03,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,41.78,43.03,41.48,42.86,225880,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-04,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,42.84,43.11,40.72,41.1,285360,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-05,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,33.4,42.24,33.4,41.32,242540,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-06,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,41.26,42.34,41.26,41.44,320650,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-07,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,41.53,42.03,41.37,41.73,34720,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-09,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,42.29,42.73,41.86,42.16,415790,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-10,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,42.59,43.13,42.25,42.9,290060,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-11,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,42.88,43.41,42.32,43.08,339280,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-12,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,43.38,45.56,42.94,44.78,1143440,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-13,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,45.13,45.36,44.32,44.56,375990,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-16,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.36,45.15,43.41,44.67,433610,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-17,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.71,46.47,44.71,45.97,580750,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-18,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,46.56,48.14,45.4,46.06,3853520,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-19,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,46.77,47.58,45.88,46.17,1589350,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-20,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,47.06,47.06,44.36,44.56,412340,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-23,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.8,45.05,43.62,44.17,288960,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-24,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.6,46.47,43.72,44.41,944570,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-25,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.8,45.07,44.41,44.77,205550,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-27,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,45.0,45.68,44.65,44.96,276170,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-30,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,44.6,45.1,42.54,42.87,250070,FYERS_HISTORY,2026-08-08T23:02:07+05:30
2012-01-31,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,43.23,44.65,42.21,44.13,391930,FYERS_HISTORY,2026-08-08T23:02:07+05:30
