trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1675.0,1684.0,1637.05,1645.3,1296291,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2023-12-27,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1657.0,1674.05,1653.8,1669.45,1181177,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2023-12-28,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1674.05,1698.8,1667.2,1681.2,1360425,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2023-12-29,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1682.45,1692.7,1674.6,1685.8,738203,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-01,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1685.8,1691.7,1671.0,1676.4,692280,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-02,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1675.9,1689.85,1663.45,1686.2,1099965,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-03,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1680.0,1708.0,1676.0,1677.65,804258,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-04,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1694.35,1723.95,1690.0,1701.95,2268009,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-05,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1702.95,1717.1,1697.65,1709.5,835592,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-08,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1715.95,1723.65,1690.2,1696.35,684254,FYERS_HISTORY,2026-08-08T23:02:12+05:30
2024-01-09,SMD-0026,BAJAJFINSV,NSE:BAJAJFINSV-EQ,1710.45,1715.0,1674.3,1682.45,1235008,FYERS_HISTORY,2026-08-08T23:02:12+05:30
