trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.15,59.15,58.85,59.06,90210,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2015-12-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.1,59.99,58.91,59.86,362310,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2015-12-30,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.0,60.21,59.43,59.74,382930,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2015-12-31,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.0,60.4,59.61,60.1,551930,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.16,61.19,60.0,60.96,303940,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.99,60.99,59.96,60.53,407200,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.75,60.99,59.8,59.98,511200,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-06,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.97,61.8,59.51,61.07,346010,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-07,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.0,61.9,60.3,61.06,782290,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.36,63.65,60.93,63.15,1035070,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,63.12,63.89,62.21,63.06,532400,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,63.1,63.29,61.52,62.09,584520,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-13,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,62.2,62.95,60.35,60.78,1035940,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-14,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.5,61.21,59.9,60.76,557540,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-15,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.3,61.46,58.82,59.75,415270,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.15,59.75,54.68,55.03,1122130,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,55.03,57.1,53.49,56.45,637010,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-20,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,56.2,57.0,54.57,56.39,980180,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-21,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,56.9,58.25,56.1,57.42,709580,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-22,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,58.17,58.49,57.54,58.21,561330,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-25,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,58.25,59.5,58.24,58.56,468140,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-27,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.07,59.89,58.18,59.37,392950,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-28,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,59.5,59.8,57.3,57.76,695190,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-01-29,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,58.39,59.7,57.56,59.28,359630,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-01,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.67,60.67,58.83,60.03,329270,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-02,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.37,60.5,57.81,58.11,783640,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-03,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,57.6,64.9,56.01,63.8,5168290,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-04,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,64.11,64.26,62.2,63.44,1388570,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-05,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,63.48,67.5,63.48,66.98,2395660,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-08,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,66.97,68.38,65.61,66.6,1035210,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-09,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,66.0,66.66,63.96,65.84,921180,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-10,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,65.84,67.08,64.1,64.79,791800,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-11,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,65.35,65.35,60.61,61.79,1106940,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-12,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,62.03,63.38,59.3,59.97,1471630,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-15,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.47,63.0,61.17,62.1,965370,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-16,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.92,62.48,59.65,60.11,657200,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-17,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,60.49,61.65,58.3,61.11,667170,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-18,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.6,62.35,61.05,61.64,327650,FYERS_HISTORY,2026-08-08T22:39:23+05:30
2016-02-19,SMD-0028,BAJFINANCE,NSE:BAJFINANCE-EQ,61.9,62.15,60.2,60.48,472030,FYERS_HISTORY,2026-08-08T22:39:23+05:30
