trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,103.05,105.0,102.75,104.75,1819990,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2016-12-28,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,105.3,107.15,103.85,104.25,2370261,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2016-12-29,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,103.35,106.85,102.75,105.35,3680668,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2016-12-30,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,106.3,108.4,105.5,107.25,3067129,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-02,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,107.75,108.25,105.75,107.45,1948756,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-03,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,107.45,109.4,106.65,108.35,1945442,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-04,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,108.25,109.0,107.25,107.7,1551444,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-05,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,108.4,109.9,108.2,109.55,1681563,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-06,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,109.9,111.9,109.7,110.55,2126290,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-09,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,111.25,111.8,110.1,111.2,1217696,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-10,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,111.5,111.95,110.3,111.25,1346360,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-11,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,112.0,114.8,111.75,114.25,3021697,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-12,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.1,115.4,113.35,114.15,1848355,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-13,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,114.8,114.8,112.85,114.0,1771669,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-16,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,114.0,115.7,113.75,115.35,1950670,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-17,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.8,116.75,114.4,115.05,1886859,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-18,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.1,116.2,114.45,115.2,1497600,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-19,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.4,116.65,114.1,115.6,1890361,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-20,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.25,116.1,112.05,112.35,1972392,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-23,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,111.95,114.5,111.15,114.15,1539471,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-24,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,114.55,115.7,114.25,114.85,1925095,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-25,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,115.6,115.6,113.45,115.05,2931315,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-27,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,116.5,118.25,115.5,117.05,4975696,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-30,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,116.55,123.6,115.7,120.3,7180324,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-01-31,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,120.0,120.4,117.15,117.65,2200898,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-01,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,117.9,121.6,117.4,121.15,4748611,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-02,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,121.75,126.2,119.4,125.25,5086596,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-03,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,125.95,133.9,125.55,132.95,10877464,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-06,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,134.75,135.75,131.05,132.5,4918430,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-07,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,132.35,135.8,130.4,133.25,5420168,FYERS_HISTORY,2026-08-08T23:02:59+05:30
2017-02-08,SMD-0032,BANKINDIA,NSE:BANKINDIA-EQ,133.95,133.95,129.5,132.7,3141295,FYERS_HISTORY,2026-08-08T23:02:59+05:30
