trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0034,BDL,NSE:BDL-EQ,793.5,863.48,790.15,847.4,8090550,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2023-12-27,SMD-0034,BDL,NSE:BDL-EQ,850.5,905.48,846.98,882.55,9049692,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2023-12-28,SMD-0034,BDL,NSE:BDL-EQ,873.55,881.5,844.6,848.78,4060728,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2023-12-29,SMD-0034,BDL,NSE:BDL-EQ,852.78,872.0,842.28,856.18,2872850,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-01,SMD-0034,BDL,NSE:BDL-EQ,860.0,873.5,858.5,863.33,974358,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-02,SMD-0034,BDL,NSE:BDL-EQ,867.7,868.4,832.5,835.5,1739572,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-03,SMD-0034,BDL,NSE:BDL-EQ,835.63,837.88,815.0,820.45,1469370,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-04,SMD-0034,BDL,NSE:BDL-EQ,824.58,862.0,823.98,841.48,2366030,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-05,SMD-0034,BDL,NSE:BDL-EQ,847.5,879.5,847.48,868.65,3579996,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-08,SMD-0034,BDL,NSE:BDL-EQ,871.83,872.5,851.45,858.6,917266,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-09,SMD-0034,BDL,NSE:BDL-EQ,867.15,877.5,860.38,870.9,1074212,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-10,SMD-0034,BDL,NSE:BDL-EQ,872.98,875.0,853.0,867.98,1336788,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-11,SMD-0034,BDL,NSE:BDL-EQ,870.05,878.5,863.5,869.25,814898,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-12,SMD-0034,BDL,NSE:BDL-EQ,871.9,871.9,857.6,863.3,503152,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-15,SMD-0034,BDL,NSE:BDL-EQ,868.65,889.73,858.75,877.85,1546194,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-16,SMD-0034,BDL,NSE:BDL-EQ,881.75,919.4,863.0,873.2,4193862,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-17,SMD-0034,BDL,NSE:BDL-EQ,866.1,893.2,856.03,875.58,1301886,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-18,SMD-0034,BDL,NSE:BDL-EQ,876.45,885.0,828.0,858.65,1530266,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-19,SMD-0034,BDL,NSE:BDL-EQ,865.0,872.65,855.63,861.23,768124,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-20,SMD-0034,BDL,NSE:BDL-EQ,862.5,873.98,852.08,866.18,677968,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-23,SMD-0034,BDL,NSE:BDL-EQ,870.5,870.5,825.55,834.83,1309698,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-24,SMD-0034,BDL,NSE:BDL-EQ,834.5,877.45,812.63,850.85,2778372,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-25,SMD-0034,BDL,NSE:BDL-EQ,854.0,861.03,827.5,834.53,1220570,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-29,SMD-0034,BDL,NSE:BDL-EQ,841.75,845.2,823.05,837.53,781790,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-30,SMD-0034,BDL,NSE:BDL-EQ,839.0,859.25,825.0,851.15,1798842,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-01-31,SMD-0034,BDL,NSE:BDL-EQ,851.65,861.5,845.65,853.53,844308,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-01,SMD-0034,BDL,NSE:BDL-EQ,856.63,864.0,837.5,852.03,847606,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-02,SMD-0034,BDL,NSE:BDL-EQ,855.0,915.0,853.5,879.7,3858258,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-05,SMD-0034,BDL,NSE:BDL-EQ,885.0,907.98,873.03,880.98,1155094,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-06,SMD-0034,BDL,NSE:BDL-EQ,879.6,894.95,867.5,876.3,957002,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-07,SMD-0034,BDL,NSE:BDL-EQ,882.5,898.0,874.5,877.35,629160,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-08,SMD-0034,BDL,NSE:BDL-EQ,875.5,969.45,875.05,956.33,8941176,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-09,SMD-0034,BDL,NSE:BDL-EQ,959.9,963.45,903.03,919.28,3044030,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-12,SMD-0034,BDL,NSE:BDL-EQ,927.5,931.43,795.0,808.03,5064946,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-13,SMD-0034,BDL,NSE:BDL-EQ,816.0,832.35,787.95,792.53,2578926,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-14,SMD-0034,BDL,NSE:BDL-EQ,787.05,822.48,778.18,814.6,2128652,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-15,SMD-0034,BDL,NSE:BDL-EQ,820.3,840.0,814.05,832.08,1466968,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-16,SMD-0034,BDL,NSE:BDL-EQ,840.03,897.0,838.38,854.95,4472720,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-19,SMD-0034,BDL,NSE:BDL-EQ,863.5,890.0,860.18,881.75,1736502,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-20,SMD-0034,BDL,NSE:BDL-EQ,880.0,881.03,860.03,875.83,961972,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-21,SMD-0034,BDL,NSE:BDL-EQ,876.5,879.3,838.5,850.03,1629028,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-22,SMD-0034,BDL,NSE:BDL-EQ,853.0,882.78,831.98,873.25,1935668,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-23,SMD-0034,BDL,NSE:BDL-EQ,877.63,909.48,876.5,893.63,2641122,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-26,SMD-0034,BDL,NSE:BDL-EQ,896.0,959.48,887.28,943.13,5678808,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-27,SMD-0034,BDL,NSE:BDL-EQ,944.25,992.4,935.98,944.03,5241652,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-28,SMD-0034,BDL,NSE:BDL-EQ,948.7,964.65,900.5,913.73,2752662,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-02-29,SMD-0034,BDL,NSE:BDL-EQ,912.1,917.5,890.05,904.55,1627668,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-01,SMD-0034,BDL,NSE:BDL-EQ,912.5,924.35,898.0,920.38,1391268,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-02,SMD-0034,BDL,NSE:BDL-EQ,919.5,925.98,913.88,923.0,126712,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-04,SMD-0034,BDL,NSE:BDL-EQ,924.25,934.85,905.0,917.23,1451064,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-05,SMD-0034,BDL,NSE:BDL-EQ,917.5,940.0,894.0,896.98,1510380,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-06,SMD-0034,BDL,NSE:BDL-EQ,934.95,934.95,887.55,892.9,3238228,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-07,SMD-0034,BDL,NSE:BDL-EQ,897.0,906.0,892.9,899.63,989838,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-11,SMD-0034,BDL,NSE:BDL-EQ,905.0,915.0,881.0,884.3,1424354,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-12,SMD-0034,BDL,NSE:BDL-EQ,890.0,904.0,854.5,863.78,1865560,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-13,SMD-0034,BDL,NSE:BDL-EQ,866.5,869.15,782.5,795.08,3130856,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-14,SMD-0034,BDL,NSE:BDL-EQ,791.0,843.48,776.05,829.03,1944394,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-15,SMD-0034,BDL,NSE:BDL-EQ,830.0,848.8,801.03,840.95,1965332,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-18,SMD-0034,BDL,NSE:BDL-EQ,840.95,855.5,831.4,838.48,882600,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-19,SMD-0034,BDL,NSE:BDL-EQ,840.5,841.48,806.33,811.83,1141702,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-20,SMD-0034,BDL,NSE:BDL-EQ,815.0,824.95,793.5,809.78,1028696,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-21,SMD-0034,BDL,NSE:BDL-EQ,828.5,842.7,827.53,830.95,1553698,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-22,SMD-0034,BDL,NSE:BDL-EQ,853.0,859.85,840.03,843.03,2560288,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-26,SMD-0034,BDL,NSE:BDL-EQ,846.65,873.98,836.5,864.7,1844836,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-27,SMD-0034,BDL,NSE:BDL-EQ,869.5,885.0,865.98,877.5,1609238,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-03-28,SMD-0034,BDL,NSE:BDL-EQ,882.98,885.98,871.5,875.95,747002,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-04-01,SMD-0034,BDL,NSE:BDL-EQ,888.5,890.88,874.5,886.95,1177048,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-04-02,SMD-0034,BDL,NSE:BDL-EQ,880.53,883.48,854.0,873.78,3081116,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-04-03,SMD-0034,BDL,NSE:BDL-EQ,874.48,906.75,867.5,878.85,2544876,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-04-04,SMD-0034,BDL,NSE:BDL-EQ,883.25,889.5,867.5,879.4,1132990,FYERS_HISTORY,2026-08-08T23:03:37+05:30
2024-04-05,SMD-0034,BDL,NSE:BDL-EQ,879.0,885.0,868.0,872.4,733606,FYERS_HISTORY,2026-08-08T23:03:37+05:30
