trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2012-12-28,SMD-0035,BEL,NSE:BEL-EQ,12.83,12.85,12.34,12.82,96105,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2012-12-31,SMD-0035,BEL,NSE:BEL-EQ,12.82,13.39,12.78,13.21,81531,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-01,SMD-0035,BEL,NSE:BEL-EQ,13.28,13.43,12.98,13.08,38955,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-02,SMD-0035,BEL,NSE:BEL-EQ,13.08,13.38,13.03,13.33,712755,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-03,SMD-0035,BEL,NSE:BEL-EQ,13.33,13.42,13.13,13.17,22836,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-04,SMD-0035,BEL,NSE:BEL-EQ,13.2,13.36,13.09,13.31,18882,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-07,SMD-0035,BEL,NSE:BEL-EQ,13.31,13.48,13.13,13.15,15888,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-08,SMD-0035,BEL,NSE:BEL-EQ,13.15,13.38,13.08,13.32,40488,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-09,SMD-0035,BEL,NSE:BEL-EQ,13.32,13.48,13.31,13.41,55989,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-10,SMD-0035,BEL,NSE:BEL-EQ,13.36,13.63,13.08,13.13,247665,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-11,SMD-0035,BEL,NSE:BEL-EQ,13.09,13.4,12.95,13.04,108420,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-14,SMD-0035,BEL,NSE:BEL-EQ,13.23,13.27,13.05,13.15,10728,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-15,SMD-0035,BEL,NSE:BEL-EQ,13.11,13.33,13.07,13.12,39957,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-16,SMD-0035,BEL,NSE:BEL-EQ,13.33,13.33,12.98,13.02,26625,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-17,SMD-0035,BEL,NSE:BEL-EQ,13.13,13.23,12.95,13.11,30543,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-18,SMD-0035,BEL,NSE:BEL-EQ,13.05,13.23,12.95,13.18,11187,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-21,SMD-0035,BEL,NSE:BEL-EQ,13.21,13.3,12.95,13.02,24255,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-22,SMD-0035,BEL,NSE:BEL-EQ,13.08,13.13,12.83,12.85,17718,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-23,SMD-0035,BEL,NSE:BEL-EQ,12.81,13.03,12.5,12.58,76701,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-24,SMD-0035,BEL,NSE:BEL-EQ,12.72,12.72,12.11,12.18,81528,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-25,SMD-0035,BEL,NSE:BEL-EQ,12.18,13.11,11.97,12.42,276147,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-28,SMD-0035,BEL,NSE:BEL-EQ,12.42,13.33,12.42,13.15,217335,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-29,SMD-0035,BEL,NSE:BEL-EQ,13.12,13.15,12.86,12.96,144348,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-30,SMD-0035,BEL,NSE:BEL-EQ,12.97,13.08,12.79,12.86,10476,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-01-31,SMD-0035,BEL,NSE:BEL-EQ,12.84,12.97,12.65,12.86,22935,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-01,SMD-0035,BEL,NSE:BEL-EQ,12.95,13.08,12.74,12.84,6828,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-04,SMD-0035,BEL,NSE:BEL-EQ,13.01,13.03,12.75,12.82,11157,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-05,SMD-0035,BEL,NSE:BEL-EQ,12.82,12.93,12.57,12.9,38988,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-06,SMD-0035,BEL,NSE:BEL-EQ,12.83,12.99,12.83,12.86,170124,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-07,SMD-0035,BEL,NSE:BEL-EQ,12.83,13.22,12.81,13.13,65334,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-08,SMD-0035,BEL,NSE:BEL-EQ,13.14,13.15,12.83,12.87,43230,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-11,SMD-0035,BEL,NSE:BEL-EQ,12.88,12.98,12.78,12.88,38286,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-12,SMD-0035,BEL,NSE:BEL-EQ,13.03,13.03,12.81,12.88,30315,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-13,SMD-0035,BEL,NSE:BEL-EQ,13.03,13.03,12.73,12.74,27780,FYERS_HISTORY,2026-08-08T23:03:45+05:30
2013-02-14,SMD-0035,BEL,NSE:BEL-EQ,12.8,12.8,12.37,12.43,16086,FYERS_HISTORY,2026-08-08T23:03:45+05:30
