trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,81.7,81.7,77.94,78.68,19421,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-01,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,81.31,81.31,77.94,78.28,13925,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-02,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,78.94,80.11,77.14,77.6,27415,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-05,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,78.23,78.33,75.01,76.01,37182,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,74.58,77.63,73.37,74.13,46414,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-07,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,73.57,74.66,71.89,73.61,18718,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-08,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,74.36,76.05,71.9,73.66,34304,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-09,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,78.38,79.32,76.05,76.79,36543,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-12,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,76.85,84.28,76.35,83.21,121165,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,83.89,84.77,79.72,80.63,44865,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-14,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,81.8,83.29,80.52,82.08,39052,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-15,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,84.28,85.27,77.24,78.0,28637,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-16,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,79.32,80.8,76.44,76.89,26987,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-19,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,80.32,80.32,74.86,76.77,30222,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-20,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,77.89,79.11,74.38,75.38,29635,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-21,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,75.36,76.35,71.49,72.19,48538,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-22,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,72.08,74.36,66.04,69.67,31397,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-23,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,71.29,71.57,69.21,70.99,18965,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-27,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,71.39,72.38,69.41,71.15,18623,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-28,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,71.39,73.22,70.9,71.19,20465,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-29,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,71.39,71.59,70.11,70.8,12194,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-01-30,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,71.89,71.89,68.92,69.36,11589,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,67.06,69.41,66.93,67.78,23217,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-04,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,68.52,71.59,67.43,71.29,26840,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-05,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,70.5,74.36,70.5,73.57,26005,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,74.06,74.47,72.58,73.94,18316,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-09,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,74.22,78.33,74.22,77.27,35923,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-10,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,77.83,80.91,77.81,79.93,66316,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-11,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,79.82,79.82,76.87,77.41,14525,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-12,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,78.78,79.82,76.85,78.39,44726,FYERS_HISTORY,2026-08-08T23:03:54+05:30
2004-02-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,75.99,78.82,75.85,77.78,5473,FYERS_HISTORY,2026-08-08T23:03:54+05:30
