trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,164.15,165.13,161.2,161.45,114922,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2013-12-31,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,161.68,166.38,160.0,164.03,238995,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-01,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,165.05,166.5,164.15,164.33,135531,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-02,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,164.53,167.45,160.2,161.53,274763,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,160.0,162.7,159.0,160.23,160119,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,160.45,166.88,160.2,165.75,534585,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-07,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,168.35,171.5,167.55,169.08,590303,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-08,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,170.38,170.5,165.13,165.85,292262,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-09,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,165.0,166.68,162.78,164.33,196728,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-10,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,164.3,169.15,163.57,166.3,435666,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,167.0,175.53,167.0,173.15,782200,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-14,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,174.0,174.85,170.08,172.25,318159,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-15,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,172.0,173.33,166.8,167.38,291707,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-16,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,166.25,175.0,166.25,174.0,469063,FYERS_HISTORY,2026-08-08T23:03:58+05:30
2014-01-17,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,174.5,176.35,168.55,169.4,331918,FYERS_HISTORY,2026-08-08T23:03:58+05:30
