trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,681.3,693.45,677.45,687.0,943024,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2021-12-28,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,689.95,703.0,687.25,702.05,865783,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2021-12-29,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,701.95,706.0,695.7,701.75,578098,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2021-12-30,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,700.0,701.45,690.3,693.9,661932,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2021-12-31,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,694.15,702.85,692.1,697.85,1117696,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,697.5,714.35,697.5,710.9,1177051,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-04,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,712.0,723.0,710.75,717.0,1192385,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-05,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,723.8,725.0,713.0,721.0,1426330,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,720.0,751.55,715.0,748.95,2639418,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-07,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,747.7,755.45,742.75,748.3,1144890,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-10,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,749.1,769.0,749.1,767.5,1134669,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-11,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,767.0,773.1,763.05,769.7,861216,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-12,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,744.0,765.75,735.65,760.5,3136263,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,760.0,771.2,756.2,768.0,942527,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-14,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,764.0,784.0,761.0,781.1,1183085,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-17,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,782.0,787.5,770.1,775.5,1070495,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-18,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,778.0,779.6,755.2,761.15,1330065,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-19,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,757.0,764.0,748.95,758.35,627399,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-20,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,762.1,763.15,742.5,750.2,687357,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-21,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,747.0,755.8,732.0,740.4,1316006,FYERS_HISTORY,2026-08-08T23:04:02+05:30
2022-01-24,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,735.0,740.4,710.0,718.9,1334962,FYERS_HISTORY,2026-08-08T23:04:02+05:30
