trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1328.0,1331.85,1308.1,1314.25,962802,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2024-12-27,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1320.0,1347.0,1311.6,1314.85,1037735,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2024-12-30,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1308.7,1315.15,1281.25,1302.35,3744544,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2024-12-31,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1301.0,1312.65,1278.85,1299.5,558405,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-01,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1303.3,1304.65,1288.15,1299.9,358152,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-02,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1300.0,1320.95,1295.0,1315.7,749880,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1318.2,1322.0,1291.0,1296.15,1816419,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1296.3,1301.65,1251.15,1260.75,758114,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-07,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1271.95,1290.0,1258.35,1270.05,823200,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-08,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1270.05,1271.95,1225.0,1248.55,855048,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-09,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1248.0,1254.45,1225.0,1227.3,636615,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-10,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1225.05,1229.1,1203.45,1209.85,868167,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1204.8,1211.3,1167.55,1169.85,1720272,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-14,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1169.85,1202.9,1169.85,1190.4,1507971,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-15,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1199.0,1208.85,1170.8,1183.55,1300950,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-16,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1190.0,1222.95,1190.0,1205.25,1506184,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-17,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1209.0,1217.8,1197.45,1207.5,745195,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-20,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1213.0,1225.9,1196.15,1217.2,424789,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-21,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1223.3,1234.35,1199.55,1201.65,986443,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-22,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1210.95,1229.1,1186.05,1226.45,1450962,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-23,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1219.65,1239.5,1206.45,1227.75,503606,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-24,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1230.05,1243.85,1211.25,1216.55,459008,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-27,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1210.6,1235.6,1181.05,1197.35,526050,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-28,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1210.0,1227.35,1181.65,1211.1,749314,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-29,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1210.05,1220.4,1190.25,1197.4,604487,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-30,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1200.0,1205.05,1180.0,1184.05,2102523,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-01-31,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1182.5,1238.0,1182.5,1224.05,627704,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-01,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1238.0,1240.95,1148.55,1175.15,872295,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1166.0,1166.0,1123.0,1139.1,1589240,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-04,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1162.95,1199.1,1159.95,1171.9,1501122,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-05,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1174.8,1184.5,1149.0,1156.55,2461419,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1162.75,1163.0,1132.4,1137.7,855048,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-07,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1137.7,1148.5,1125.65,1139.45,1231822,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-10,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1144.9,1148.4,1130.5,1134.8,460118,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-11,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1133.9,1134.75,1108.05,1112.3,793322,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-12,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1112.9,1117.0,1070.8,1104.65,1217773,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-13,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1075.0,1099.05,1044.7,1076.2,3020065,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-14,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1088.75,1106.3,1059.55,1078.35,1776818,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-17,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1078.35,1088.7,1051.55,1082.65,425715,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-18,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1082.35,1082.75,1051.05,1076.95,976428,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-19,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1058.0,1082.85,1047.6,1076.05,346156,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-20,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1091.0,1103.45,1067.95,1081.35,1894343,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-21,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1083.0,1098.2,1053.55,1058.95,564026,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-24,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1048.15,1050.35,1037.15,1041.55,486862,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-25,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1039.5,1054.35,1038.7,1045.2,660269,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-27,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1045.25,1050.0,1024.3,1038.4,942500,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-02-28,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1035.05,1035.05,1002.15,1016.5,2472393,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-03-03,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1018.0,1032.7,1002.4,1030.25,549605,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-03-04,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1010.3,1032.75,1006.25,1022.8,708878,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-03-05,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1020.0,1059.7,1004.0,1057.1,677358,FYERS_HISTORY,2026-08-08T23:04:04+05:30
2025-03-06,SMD-0036,BHARATFORG,NSE:BHARATFORG-EQ,1075.0,1090.0,1066.95,1086.45,896629,FYERS_HISTORY,2026-08-08T23:04:04+05:30
