trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,49.08,49.9,48.2,48.25,1748347,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-01,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,48.97,51.37,48.66,50.99,2856081,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-02,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,51.65,52.06,49.84,50.34,2490076,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-05,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,50.94,50.94,48.34,49.24,1775937,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-06,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,50.22,52.8,49.99,51.9,5397986,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-07,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,52.98,53.53,50.18,51.23,2527716,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-08,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,51.63,56.93,51.63,55.85,3685301,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-09,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,57.85,59.89,54.63,55.32,3359673,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-12,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,55.46,56.1,53.7,54.89,2301035,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-13,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,54.86,55.78,53.01,54.71,1788470,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-14,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,55.73,64.27,55.26,56.01,3398659,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-15,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,58.3,58.3,51.92,54.77,4484638,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-16,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,55.09,56.33,51.88,52.47,3557171,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-19,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,50.96,53.16,49.86,51.63,3624274,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-20,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,54.63,57.39,53.37,54.29,8409692,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-21,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,55.03,57.83,54.71,56.61,6520244,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-22,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,57.16,59.68,54.91,56.08,3997235,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-23,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,56.7,58.3,55.55,58.01,1846596,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-27,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,58.9,69.46,58.9,67.53,9212734,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-28,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,66.98,67.49,62.46,64.09,4515714,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-29,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,64.69,64.69,61.29,63.68,2921747,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-01-30,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,63.58,65.03,61.33,61.82,1996806,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-03,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,62.3,63.08,58.38,58.88,3163713,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-04,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,58.99,61.73,58.15,60.03,2900259,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-05,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,60.58,61.01,58.3,58.93,2189603,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-06,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,59.87,64.73,59.22,64.18,5087016,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-09,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,64.73,64.96,61.56,63.77,3446804,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-10,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,64.23,66.34,62.67,63.4,4370433,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-11,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,64.46,65.83,63.58,65.01,2831417,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-12,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,65.65,68.08,65.33,67.7,5420133,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-13,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,67.84,70.7,67.26,70.31,7096035,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-16,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,70.24,73.57,70.24,72.77,4761810,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-17,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,72.54,73.45,69.63,72.84,3062940,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-18,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,73.64,73.64,71.16,71.94,1843925,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-19,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,72.06,73.45,71.43,72.21,3153042,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-20,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,72.77,72.77,69.09,70.24,3073046,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-23,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,70.93,72.08,68.34,68.94,2105498,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-24,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,70.15,70.15,63.38,68.25,3601609,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-25,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,68.5,68.86,67.26,67.76,1823830,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-26,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,68.85,68.85,64.78,65.4,1951176,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-02-27,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,65.42,67.03,64.35,65.37,2337297,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-03-01,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,66.02,76.99,65.97,74.81,9990893,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-03-03,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,75.29,75.7,69.49,70.68,5520466,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-03-04,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,71.07,73.45,69.78,70.65,3455007,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-03-05,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,70.27,71.89,68.63,70.64,3627511,FYERS_HISTORY,2026-08-08T23:04:08+05:30
2004-03-08,SMD-0037,BHARTIARTL,NSE:BHARTIARTL-EQ,71.16,71.62,69.78,70.98,3512710,FYERS_HISTORY,2026-08-08T23:04:08+05:30
