trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0038,BHEL,NSE:BHEL-EQ,346.67,350.53,342.0,345.3,210062,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-01,SMD-0038,BHEL,NSE:BHEL-EQ,344.0,348.0,341.47,344.48,140548,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-02,SMD-0038,BHEL,NSE:BHEL-EQ,345.87,346.65,333.48,340.09,344017,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-03,SMD-0038,BHEL,NSE:BHEL-EQ,340.0,340.0,332.0,333.55,464901,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-04,SMD-0038,BHEL,NSE:BHEL-EQ,333.33,341.45,328.15,339.25,418143,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-07,SMD-0038,BHEL,NSE:BHEL-EQ,337.07,338.65,333.33,334.38,433241,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-08,SMD-0038,BHEL,NSE:BHEL-EQ,336.67,339.58,330.27,332.69,534175,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-09,SMD-0038,BHEL,NSE:BHEL-EQ,335.2,344.8,323.27,324.36,686118,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-10,SMD-0038,BHEL,NSE:BHEL-EQ,326.67,333.07,323.65,324.61,921072,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-11,SMD-0038,BHEL,NSE:BHEL-EQ,320.3,327.87,320.3,324.51,361706,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-14,SMD-0038,BHEL,NSE:BHEL-EQ,325.07,331.29,325.07,329.97,281789,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-15,SMD-0038,BHEL,NSE:BHEL-EQ,332.67,334.67,319.2,322.57,520661,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-16,SMD-0038,BHEL,NSE:BHEL-EQ,326.27,326.27,302.67,307.73,754917,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-17,SMD-0038,BHEL,NSE:BHEL-EQ,310.0,320.0,303.67,313.56,620885,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-18,SMD-0038,BHEL,NSE:BHEL-EQ,312.0,312.0,304.4,307.31,554977,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-21,SMD-0038,BHEL,NSE:BHEL-EQ,304.67,304.67,265.47,280.45,706209,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-22,SMD-0038,BHEL,NSE:BHEL-EQ,273.33,276.67,240.0,265.81,1164374,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-23,SMD-0038,BHEL,NSE:BHEL-EQ,280.0,304.61,272.63,286.42,1071890,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-24,SMD-0038,BHEL,NSE:BHEL-EQ,294.67,301.33,276.67,279.33,760797,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-25,SMD-0038,BHEL,NSE:BHEL-EQ,291.6,299.99,285.87,288.61,696591,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-28,SMD-0038,BHEL,NSE:BHEL-EQ,282.67,282.67,272.63,278.83,839281,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-29,SMD-0038,BHEL,NSE:BHEL-EQ,285.03,285.03,272.63,273.53,453793,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-30,SMD-0038,BHEL,NSE:BHEL-EQ,277.47,282.96,272.63,278.92,552502,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-01-31,SMD-0038,BHEL,NSE:BHEL-EQ,280.67,280.67,272.63,274.71,1127833,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-01,SMD-0038,BHEL,NSE:BHEL-EQ,283.33,283.33,272.63,275.33,485318,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-04,SMD-0038,BHEL,NSE:BHEL-EQ,280.0,287.29,272.63,274.52,563655,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-05,SMD-0038,BHEL,NSE:BHEL-EQ,279.73,283.33,272.63,278.2,466735,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-06,SMD-0038,BHEL,NSE:BHEL-EQ,272.63,275.6,264.31,270.58,484462,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-07,SMD-0038,BHEL,NSE:BHEL-EQ,271.6,274.67,267.2,269.39,309366,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-08,SMD-0038,BHEL,NSE:BHEL-EQ,269.33,271.29,264.93,269.3,488461,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-11,SMD-0038,BHEL,NSE:BHEL-EQ,269.33,272.93,249.43,254.05,750183,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-12,SMD-0038,BHEL,NSE:BHEL-EQ,262.27,262.27,246.67,250.51,750759,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-13,SMD-0038,BHEL,NSE:BHEL-EQ,254.67,266.48,251.87,263.35,762217,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-14,SMD-0038,BHEL,NSE:BHEL-EQ,273.33,300.8,273.33,297.18,836453,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-15,SMD-0038,BHEL,NSE:BHEL-EQ,293.33,308.0,283.47,301.73,624044,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-18,SMD-0038,BHEL,NSE:BHEL-EQ,301.07,304.23,292.0,294.35,328521,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-19,SMD-0038,BHEL,NSE:BHEL-EQ,299.73,302.53,296.0,297.27,162036,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-20,SMD-0038,BHEL,NSE:BHEL-EQ,293.32,293.33,281.33,282.99,340881,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-21,SMD-0038,BHEL,NSE:BHEL-EQ,286.67,289.33,272.67,279.33,453944,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-22,SMD-0038,BHEL,NSE:BHEL-EQ,274.66,276.53,270.15,274.49,244126,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-25,SMD-0038,BHEL,NSE:BHEL-EQ,282.67,286.67,272.15,278.47,364845,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-26,SMD-0038,BHEL,NSE:BHEL-EQ,280.0,293.2,276.13,290.87,512641,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-27,SMD-0038,BHEL,NSE:BHEL-EQ,293.33,304.67,293.33,301.8,585154,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-28,SMD-0038,BHEL,NSE:BHEL-EQ,298.67,313.33,294.17,310.83,982896,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-02-29,SMD-0038,BHEL,NSE:BHEL-EQ,306.67,315.25,294.15,304.91,738835,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-03,SMD-0038,BHEL,NSE:BHEL-EQ,294.29,296.0,276.8,280.32,575547,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-04,SMD-0038,BHEL,NSE:BHEL-EQ,282.0,284.76,273.21,279.73,470708,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-05,SMD-0038,BHEL,NSE:BHEL-EQ,278.67,285.16,274.21,277.36,365481,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-07,SMD-0038,BHEL,NSE:BHEL-EQ,274.67,274.67,260.0,269.83,689773,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-10,SMD-0038,BHEL,NSE:BHEL-EQ,269.83,269.83,242.0,255.22,1308478,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-11,SMD-0038,BHEL,NSE:BHEL-EQ,252.67,268.53,248.05,266.19,852830,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-12,SMD-0038,BHEL,NSE:BHEL-EQ,270.67,280.05,263.39,268.67,730549,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-13,SMD-0038,BHEL,NSE:BHEL-EQ,263.33,263.33,247.33,251.15,664344,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-14,SMD-0038,BHEL,NSE:BHEL-EQ,253.07,256.0,245.73,250.75,641983,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-17,SMD-0038,BHEL,NSE:BHEL-EQ,241.33,245.15,233.6,239.36,824687,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-18,SMD-0038,BHEL,NSE:BHEL-EQ,238.0,256.0,238.0,243.5,977455,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-19,SMD-0038,BHEL,NSE:BHEL-EQ,248.53,254.49,245.6,246.91,772465,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-24,SMD-0038,BHEL,NSE:BHEL-EQ,250.03,253.33,237.2,249.72,792876,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-25,SMD-0038,BHEL,NSE:BHEL-EQ,251.05,272.27,251.05,268.23,654094,FYERS_HISTORY,2026-08-08T23:04:23+05:30
2008-03-26,SMD-0038,BHEL,NSE:BHEL-EQ,269.43,270.67,257.35,260.44,425774,FYERS_HISTORY,2026-08-08T23:04:23+05:30
