trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0038,BHEL,NSE:BHEL-EQ,316.0,319.96,312.28,316.65,220107,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2009-12-30,SMD-0038,BHEL,NSE:BHEL-EQ,318.4,319.6,313.48,315.19,216285,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2009-12-31,SMD-0038,BHEL,NSE:BHEL-EQ,315.38,322.53,315.38,320.44,535414,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-04,SMD-0038,BHEL,NSE:BHEL-EQ,321.33,324.27,320.46,323.48,330566,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-05,SMD-0038,BHEL,NSE:BHEL-EQ,325.07,326.53,322.67,324.72,152603,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-06,SMD-0038,BHEL,NSE:BHEL-EQ,326.93,327.33,319.07,323.5,229795,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-07,SMD-0038,BHEL,NSE:BHEL-EQ,324.0,324.53,317.63,321.27,199453,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-08,SMD-0038,BHEL,NSE:BHEL-EQ,322.67,325.57,321.53,323.21,184710,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-11,SMD-0038,BHEL,NSE:BHEL-EQ,324.67,326.27,318.19,319.59,346399,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-12,SMD-0038,BHEL,NSE:BHEL-EQ,320.27,321.17,313.33,314.09,593759,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-13,SMD-0038,BHEL,NSE:BHEL-EQ,313.2,313.2,309.33,310.55,544514,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-14,SMD-0038,BHEL,NSE:BHEL-EQ,313.2,318.36,310.3,316.95,600550,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-15,SMD-0038,BHEL,NSE:BHEL-EQ,318.01,318.37,313.73,316.08,188937,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-18,SMD-0038,BHEL,NSE:BHEL-EQ,319.6,320.67,315.33,317.51,300195,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-19,SMD-0038,BHEL,NSE:BHEL-EQ,317.51,323.25,314.92,319.62,417427,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-20,SMD-0038,BHEL,NSE:BHEL-EQ,321.25,322.56,316.53,319.68,216723,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-21,SMD-0038,BHEL,NSE:BHEL-EQ,319.2,321.2,303.31,305.62,529211,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-22,SMD-0038,BHEL,NSE:BHEL-EQ,302.35,318.67,298.19,317.35,1115321,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-25,SMD-0038,BHEL,NSE:BHEL-EQ,316.13,319.72,313.88,317.03,298995,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-27,SMD-0038,BHEL,NSE:BHEL-EQ,314.67,317.6,309.47,312.42,589189,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-28,SMD-0038,BHEL,NSE:BHEL-EQ,315.33,315.48,310.36,312.56,613059,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-01-29,SMD-0038,BHEL,NSE:BHEL-EQ,312.0,322.4,307.49,320.69,792557,FYERS_HISTORY,2026-08-08T23:04:24+05:30
