trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0038,BHEL,NSE:BHEL-EQ,306.0,307.71,303.78,307.27,183625,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-12-30,SMD-0038,BHEL,NSE:BHEL-EQ,308.37,312.8,307.66,311.68,244719,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2010-12-31,SMD-0038,BHEL,NSE:BHEL-EQ,312.53,315.07,308.67,309.83,305060,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-03,SMD-0038,BHEL,NSE:BHEL-EQ,310.0,313.26,307.15,312.51,277295,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-04,SMD-0038,BHEL,NSE:BHEL-EQ,312.4,313.79,309.73,310.85,447658,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-05,SMD-0038,BHEL,NSE:BHEL-EQ,310.13,311.96,305.36,307.38,295198,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-06,SMD-0038,BHEL,NSE:BHEL-EQ,309.31,312.64,304.3,307.79,281791,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-07,SMD-0038,BHEL,NSE:BHEL-EQ,307.59,308.0,303.87,305.35,301101,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-10,SMD-0038,BHEL,NSE:BHEL-EQ,305.33,305.33,289.45,290.95,599401,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-11,SMD-0038,BHEL,NSE:BHEL-EQ,292.93,301.07,292.0,296.95,1142943,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-12,SMD-0038,BHEL,NSE:BHEL-EQ,300.0,301.05,295.6,298.41,507351,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-13,SMD-0038,BHEL,NSE:BHEL-EQ,299.69,300.61,295.22,297.22,286212,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-14,SMD-0038,BHEL,NSE:BHEL-EQ,299.6,299.6,290.4,292.65,376995,FYERS_HISTORY,2026-08-08T23:04:24+05:30
2011-01-17,SMD-0038,BHEL,NSE:BHEL-EQ,292.8,294.11,290.0,291.47,352638,FYERS_HISTORY,2026-08-08T23:04:24+05:30
