trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0038,BHEL,NSE:BHEL-EQ,168.4,171.33,168.4,169.67,1300585,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2014-12-30,SMD-0038,BHEL,NSE:BHEL-EQ,170.0,172.9,169.37,172.23,1431829,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2014-12-31,SMD-0038,BHEL,NSE:BHEL-EQ,170.93,178.3,170.2,176.83,3575927,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-01,SMD-0038,BHEL,NSE:BHEL-EQ,177.07,179.97,175.7,179.03,2086253,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-02,SMD-0038,BHEL,NSE:BHEL-EQ,179.6,184.63,179.33,183.53,2745239,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-05,SMD-0038,BHEL,NSE:BHEL-EQ,184.0,185.6,180.07,182.27,2027995,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-06,SMD-0038,BHEL,NSE:BHEL-EQ,180.6,180.67,173.0,173.97,2522888,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-07,SMD-0038,BHEL,NSE:BHEL-EQ,173.1,173.97,166.67,169.23,3013855,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-08,SMD-0038,BHEL,NSE:BHEL-EQ,172.0,174.13,170.77,171.7,2035359,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-09,SMD-0038,BHEL,NSE:BHEL-EQ,172.17,174.1,167.33,169.83,1689133,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-12,SMD-0038,BHEL,NSE:BHEL-EQ,169.73,172.67,168.73,171.77,1206063,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-13,SMD-0038,BHEL,NSE:BHEL-EQ,173.47,177.33,170.17,171.67,2569800,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-14,SMD-0038,BHEL,NSE:BHEL-EQ,171.93,180.53,171.93,179.17,3018347,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-15,SMD-0038,BHEL,NSE:BHEL-EQ,181.33,183.93,176.67,179.3,3408103,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-16,SMD-0038,BHEL,NSE:BHEL-EQ,178.33,183.23,176.43,182.57,2635160,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-19,SMD-0038,BHEL,NSE:BHEL-EQ,182.8,188.27,182.03,187.37,2322812,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-20,SMD-0038,BHEL,NSE:BHEL-EQ,189.03,189.33,185.53,187.5,3067673,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-21,SMD-0038,BHEL,NSE:BHEL-EQ,188.0,189.0,184.73,188.37,2488615,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-22,SMD-0038,BHEL,NSE:BHEL-EQ,188.97,191.57,187.23,189.63,2672980,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-23,SMD-0038,BHEL,NSE:BHEL-EQ,190.7,192.27,184.87,186.07,3351549,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-27,SMD-0038,BHEL,NSE:BHEL-EQ,190.1,191.0,186.33,187.93,2804231,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-28,SMD-0038,BHEL,NSE:BHEL-EQ,187.33,188.3,182.1,186.17,3313073,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-29,SMD-0038,BHEL,NSE:BHEL-EQ,185.67,193.27,184.0,191.93,3291204,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-01-30,SMD-0038,BHEL,NSE:BHEL-EQ,192.67,198.53,190.33,194.5,3836450,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-02,SMD-0038,BHEL,NSE:BHEL-EQ,194.27,197.67,193.43,195.9,1935045,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-03,SMD-0038,BHEL,NSE:BHEL-EQ,197.3,199.3,194.13,198.07,2149031,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-04,SMD-0038,BHEL,NSE:BHEL-EQ,199.33,200.0,189.33,190.0,2249121,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-05,SMD-0038,BHEL,NSE:BHEL-EQ,191.27,193.2,182.73,184.57,2314006,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-06,SMD-0038,BHEL,NSE:BHEL-EQ,184.63,186.17,175.5,176.1,2991071,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-09,SMD-0038,BHEL,NSE:BHEL-EQ,174.33,177.33,171.4,172.37,1490748,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-10,SMD-0038,BHEL,NSE:BHEL-EQ,170.33,178.0,170.33,174.33,1745559,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-11,SMD-0038,BHEL,NSE:BHEL-EQ,175.33,176.7,169.07,170.3,1908805,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-12,SMD-0038,BHEL,NSE:BHEL-EQ,169.33,179.6,167.17,178.47,4227725,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-13,SMD-0038,BHEL,NSE:BHEL-EQ,167.33,175.9,167.33,172.9,6153749,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-16,SMD-0038,BHEL,NSE:BHEL-EQ,172.9,174.3,170.0,173.03,2181133,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-18,SMD-0038,BHEL,NSE:BHEL-EQ,172.67,175.63,171.4,173.47,1512911,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-19,SMD-0038,BHEL,NSE:BHEL-EQ,173.7,176.2,171.07,174.53,1935624,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-20,SMD-0038,BHEL,NSE:BHEL-EQ,175.2,184.2,175.0,183.5,4378351,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-23,SMD-0038,BHEL,NSE:BHEL-EQ,184.67,184.67,180.5,181.7,2329855,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-24,SMD-0038,BHEL,NSE:BHEL-EQ,182.0,186.23,180.7,185.17,3091262,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-25,SMD-0038,BHEL,NSE:BHEL-EQ,186.33,187.83,181.17,182.8,2125537,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-26,SMD-0038,BHEL,NSE:BHEL-EQ,181.8,184.63,174.83,176.3,6329901,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-27,SMD-0038,BHEL,NSE:BHEL-EQ,178.0,181.43,177.03,180.6,2475754,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-02-28,SMD-0038,BHEL,NSE:BHEL-EQ,183.33,186.33,168.0,174.77,4646207,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-02,SMD-0038,BHEL,NSE:BHEL-EQ,175.63,183.53,175.63,182.5,3939293,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-03,SMD-0038,BHEL,NSE:BHEL-EQ,182.5,183.87,178.77,183.17,2538383,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-04,SMD-0038,BHEL,NSE:BHEL-EQ,184.2,185.8,179.0,180.6,2386210,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-05,SMD-0038,BHEL,NSE:BHEL-EQ,182.0,182.47,177.37,180.23,1399260,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-09,SMD-0038,BHEL,NSE:BHEL-EQ,178.0,178.63,171.3,172.4,1749798,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-10,SMD-0038,BHEL,NSE:BHEL-EQ,173.33,175.27,170.13,172.73,1506161,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-11,SMD-0038,BHEL,NSE:BHEL-EQ,173.27,175.27,170.4,171.93,1927341,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-12,SMD-0038,BHEL,NSE:BHEL-EQ,173.3,176.63,172.67,176.03,1330589,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-13,SMD-0038,BHEL,NSE:BHEL-EQ,176.93,177.57,169.0,169.83,1611342,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-16,SMD-0038,BHEL,NSE:BHEL-EQ,170.77,173.6,167.73,172.73,2122587,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-17,SMD-0038,BHEL,NSE:BHEL-EQ,173.6,177.2,172.17,176.53,1401167,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-18,SMD-0038,BHEL,NSE:BHEL-EQ,177.13,177.43,171.17,171.8,1862248,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-19,SMD-0038,BHEL,NSE:BHEL-EQ,173.9,174.53,167.93,170.4,1236760,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-20,SMD-0038,BHEL,NSE:BHEL-EQ,168.67,170.27,163.33,163.83,2301834,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-23,SMD-0038,BHEL,NSE:BHEL-EQ,164.2,164.4,157.0,157.87,2429619,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-24,SMD-0038,BHEL,NSE:BHEL-EQ,156.67,161.67,155.33,160.0,2058731,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-25,SMD-0038,BHEL,NSE:BHEL-EQ,160.6,160.8,156.77,157.77,1643553,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-26,SMD-0038,BHEL,NSE:BHEL-EQ,156.67,163.0,156.1,157.23,3292106,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-27,SMD-0038,BHEL,NSE:BHEL-EQ,158.0,159.03,152.0,155.2,1991157,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-30,SMD-0038,BHEL,NSE:BHEL-EQ,156.67,159.93,154.8,159.17,2021439,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-03-31,SMD-0038,BHEL,NSE:BHEL-EQ,159.97,161.33,155.33,156.9,2637186,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-01,SMD-0038,BHEL,NSE:BHEL-EQ,157.2,157.33,153.07,153.8,2230717,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-06,SMD-0038,BHEL,NSE:BHEL-EQ,153.57,158.93,151.73,156.73,3243773,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-07,SMD-0038,BHEL,NSE:BHEL-EQ,155.0,156.83,152.47,155.67,1976298,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-08,SMD-0038,BHEL,NSE:BHEL-EQ,156.67,159.6,156.0,157.27,2332139,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-09,SMD-0038,BHEL,NSE:BHEL-EQ,157.7,158.7,153.67,155.1,1591715,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-10,SMD-0038,BHEL,NSE:BHEL-EQ,155.53,158.2,154.87,156.4,1496682,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-13,SMD-0038,BHEL,NSE:BHEL-EQ,156.67,162.97,156.67,161.77,2674026,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-15,SMD-0038,BHEL,NSE:BHEL-EQ,161.33,162.53,153.53,154.93,2729110,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-16,SMD-0038,BHEL,NSE:BHEL-EQ,155.37,156.57,152.8,154.67,1690403,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-17,SMD-0038,BHEL,NSE:BHEL-EQ,154.47,158.0,154.03,156.57,1614597,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-20,SMD-0038,BHEL,NSE:BHEL-EQ,157.73,157.73,150.13,153.27,1393737,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-21,SMD-0038,BHEL,NSE:BHEL-EQ,153.27,155.57,150.67,151.33,1954618,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-22,SMD-0038,BHEL,NSE:BHEL-EQ,151.4,154.53,148.37,153.87,2303124,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-23,SMD-0038,BHEL,NSE:BHEL-EQ,155.53,156.57,153.67,155.53,1398619,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-24,SMD-0038,BHEL,NSE:BHEL-EQ,156.2,157.1,154.17,156.0,1903259,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-27,SMD-0038,BHEL,NSE:BHEL-EQ,157.07,157.27,150.07,150.87,1750463,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-28,SMD-0038,BHEL,NSE:BHEL-EQ,151.0,159.07,149.8,155.3,2668139,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-29,SMD-0038,BHEL,NSE:BHEL-EQ,155.2,156.6,152.7,154.77,1253264,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-04-30,SMD-0038,BHEL,NSE:BHEL-EQ,154.33,162.13,150.4,158.7,4726845,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-05-04,SMD-0038,BHEL,NSE:BHEL-EQ,160.6,164.67,158.83,163.43,1888731,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-05-05,SMD-0038,BHEL,NSE:BHEL-EQ,163.67,166.0,161.33,163.43,1560716,FYERS_HISTORY,2026-08-08T23:04:26+05:30
2015-05-06,SMD-0038,BHEL,NSE:BHEL-EQ,162.33,162.67,152.57,153.13,2098773,FYERS_HISTORY,2026-08-08T23:04:26+05:30
