trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0038,BHEL,NSE:BHEL-EQ,42.7,43.3,42.6,43.15,13499408,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2019-12-30,SMD-0038,BHEL,NSE:BHEL-EQ,43.3,43.45,42.6,42.85,9545249,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2019-12-31,SMD-0038,BHEL,NSE:BHEL-EQ,42.8,43.8,42.6,43.45,15897198,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-01,SMD-0038,BHEL,NSE:BHEL-EQ,43.5,44.1,43.25,43.5,12283581,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-02,SMD-0038,BHEL,NSE:BHEL-EQ,43.75,45.85,43.5,45.4,24677041,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-03,SMD-0038,BHEL,NSE:BHEL-EQ,45.4,45.65,44.3,44.6,10859861,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-06,SMD-0038,BHEL,NSE:BHEL-EQ,44.25,44.4,42.4,42.65,12626606,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-07,SMD-0038,BHEL,NSE:BHEL-EQ,43.1,44.0,42.7,43.4,13321218,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-08,SMD-0038,BHEL,NSE:BHEL-EQ,42.5,43.35,42.5,43.2,11199141,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-09,SMD-0038,BHEL,NSE:BHEL-EQ,44.0,45.1,43.6,44.9,16119627,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-10,SMD-0038,BHEL,NSE:BHEL-EQ,45.1,45.5,44.4,44.75,10521165,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-13,SMD-0038,BHEL,NSE:BHEL-EQ,45.0,46.55,44.75,46.05,17317084,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-14,SMD-0038,BHEL,NSE:BHEL-EQ,46.4,46.65,45.4,45.95,11899391,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-15,SMD-0038,BHEL,NSE:BHEL-EQ,45.85,47.0,45.45,46.85,10739845,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-16,SMD-0038,BHEL,NSE:BHEL-EQ,47.45,47.75,46.4,46.55,14205313,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-17,SMD-0038,BHEL,NSE:BHEL-EQ,46.6,47.1,46.05,46.2,8424298,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-20,SMD-0038,BHEL,NSE:BHEL-EQ,46.3,46.55,44.7,44.95,12234865,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-21,SMD-0038,BHEL,NSE:BHEL-EQ,45.0,45.45,43.2,43.4,24323645,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-22,SMD-0038,BHEL,NSE:BHEL-EQ,43.65,43.8,43.05,43.45,16583634,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-23,SMD-0038,BHEL,NSE:BHEL-EQ,43.45,44.0,43.3,43.45,14871754,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-24,SMD-0038,BHEL,NSE:BHEL-EQ,43.5,45.2,43.4,45.0,27348156,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-27,SMD-0038,BHEL,NSE:BHEL-EQ,44.7,44.95,43.8,43.95,13164355,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-28,SMD-0038,BHEL,NSE:BHEL-EQ,43.95,44.45,43.05,43.3,11310748,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-29,SMD-0038,BHEL,NSE:BHEL-EQ,43.7,45.1,43.6,44.55,15586751,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-30,SMD-0038,BHEL,NSE:BHEL-EQ,44.65,44.65,43.2,44.05,14992301,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-01-31,SMD-0038,BHEL,NSE:BHEL-EQ,44.45,44.6,42.05,42.75,14087306,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-01,SMD-0038,BHEL,NSE:BHEL-EQ,42.7,43.55,39.2,40.05,17232262,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-03,SMD-0038,BHEL,NSE:BHEL-EQ,39.9,40.55,38.8,39.45,20417630,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-04,SMD-0038,BHEL,NSE:BHEL-EQ,39.8,40.2,39.35,39.95,13225776,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-05,SMD-0038,BHEL,NSE:BHEL-EQ,40.0,40.5,39.25,39.6,23954561,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-06,SMD-0038,BHEL,NSE:BHEL-EQ,39.95,40.2,39.45,39.55,16156110,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-07,SMD-0038,BHEL,NSE:BHEL-EQ,39.75,40.3,39.2,39.8,16682125,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-10,SMD-0038,BHEL,NSE:BHEL-EQ,39.75,39.8,37.9,38.25,21400298,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-11,SMD-0038,BHEL,NSE:BHEL-EQ,38.6,39.1,38.25,38.55,20338186,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-12,SMD-0038,BHEL,NSE:BHEL-EQ,37.8,38.2,35.8,36.35,51223154,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-13,SMD-0038,BHEL,NSE:BHEL-EQ,36.85,37.35,36.25,37.05,20159277,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-14,SMD-0038,BHEL,NSE:BHEL-EQ,37.2,37.4,36.0,36.2,20464164,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-17,SMD-0038,BHEL,NSE:BHEL-EQ,36.2,36.4,34.75,34.85,21604096,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-18,SMD-0038,BHEL,NSE:BHEL-EQ,34.3,34.9,33.4,34.7,34528421,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-19,SMD-0038,BHEL,NSE:BHEL-EQ,34.7,35.6,34.2,35.4,18802594,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-20,SMD-0038,BHEL,NSE:BHEL-EQ,35.4,35.9,34.9,35.1,15578115,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-24,SMD-0038,BHEL,NSE:BHEL-EQ,34.3,34.75,33.7,33.9,13344620,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-25,SMD-0038,BHEL,NSE:BHEL-EQ,33.75,34.5,33.65,33.9,13587843,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-26,SMD-0038,BHEL,NSE:BHEL-EQ,33.6,33.95,33.1,33.25,13462112,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-27,SMD-0038,BHEL,NSE:BHEL-EQ,33.25,33.35,32.05,32.6,18665991,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-02-28,SMD-0038,BHEL,NSE:BHEL-EQ,31.7,31.7,30.3,30.6,21837210,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-02,SMD-0038,BHEL,NSE:BHEL-EQ,31.1,31.7,29.05,29.55,23026620,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-03,SMD-0038,BHEL,NSE:BHEL-EQ,30.0,31.35,29.85,31.0,20595361,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-04,SMD-0038,BHEL,NSE:BHEL-EQ,31.1,31.2,29.85,30.65,18105957,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-05,SMD-0038,BHEL,NSE:BHEL-EQ,30.9,31.4,29.95,30.7,20609801,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-06,SMD-0038,BHEL,NSE:BHEL-EQ,29.7,29.7,28.95,29.55,16052493,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-09,SMD-0038,BHEL,NSE:BHEL-EQ,28.8,28.85,27.05,27.2,21890476,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-11,SMD-0038,BHEL,NSE:BHEL-EQ,27.45,28.7,27.2,27.55,30448290,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-12,SMD-0038,BHEL,NSE:BHEL-EQ,26.0,26.6,24.0,24.15,35583365,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-13,SMD-0038,BHEL,NSE:BHEL-EQ,22.2,26.4,18.4,25.95,39258484,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-16,SMD-0038,BHEL,NSE:BHEL-EQ,24.35,25.75,23.3,23.7,26302824,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-17,SMD-0038,BHEL,NSE:BHEL-EQ,24.05,25.35,23.0,23.2,23765875,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-18,SMD-0038,BHEL,NSE:BHEL-EQ,23.55,24.4,22.4,23.35,27069851,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-19,SMD-0038,BHEL,NSE:BHEL-EQ,22.45,23.6,21.8,22.5,27938212,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-20,SMD-0038,BHEL,NSE:BHEL-EQ,22.95,23.95,22.05,23.45,41569863,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-23,SMD-0038,BHEL,NSE:BHEL-EQ,21.5,21.75,20.05,20.15,15468456,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-24,SMD-0038,BHEL,NSE:BHEL-EQ,21.0,21.25,19.5,20.0,20665598,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-25,SMD-0038,BHEL,NSE:BHEL-EQ,20.0,20.2,19.15,19.85,14159337,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-26,SMD-0038,BHEL,NSE:BHEL-EQ,20.05,21.1,19.45,20.6,18656994,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-27,SMD-0038,BHEL,NSE:BHEL-EQ,21.4,21.9,20.15,20.35,22366596,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-30,SMD-0038,BHEL,NSE:BHEL-EQ,20.25,20.6,19.65,20.2,13042664,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-03-31,SMD-0038,BHEL,NSE:BHEL-EQ,20.7,21.15,20.2,20.8,20144665,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-01,SMD-0038,BHEL,NSE:BHEL-EQ,20.65,21.2,20.4,20.7,15999994,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-03,SMD-0038,BHEL,NSE:BHEL-EQ,21.15,21.2,20.4,20.65,14724854,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-07,SMD-0038,BHEL,NSE:BHEL-EQ,21.05,21.45,20.85,21.3,18390253,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-08,SMD-0038,BHEL,NSE:BHEL-EQ,21.2,22.65,20.95,21.25,28424499,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-09,SMD-0038,BHEL,NSE:BHEL-EQ,21.65,22.65,21.4,22.35,28488302,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-13,SMD-0038,BHEL,NSE:BHEL-EQ,23.15,23.35,21.85,22.0,36362523,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-15,SMD-0038,BHEL,NSE:BHEL-EQ,22.35,23.15,21.3,21.45,40178521,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-16,SMD-0038,BHEL,NSE:BHEL-EQ,21.45,21.9,21.15,21.7,27540878,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-17,SMD-0038,BHEL,NSE:BHEL-EQ,22.6,22.6,21.5,21.85,29750187,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-20,SMD-0038,BHEL,NSE:BHEL-EQ,22.0,23.15,21.6,22.55,53220501,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-21,SMD-0038,BHEL,NSE:BHEL-EQ,22.25,22.25,21.55,21.7,23711520,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-22,SMD-0038,BHEL,NSE:BHEL-EQ,21.6,21.85,20.9,21.35,24357522,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-23,SMD-0038,BHEL,NSE:BHEL-EQ,21.6,21.85,21.2,21.4,19336945,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-24,SMD-0038,BHEL,NSE:BHEL-EQ,21.1,21.4,20.6,20.65,20109613,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-27,SMD-0038,BHEL,NSE:BHEL-EQ,20.95,20.95,20.4,20.65,16354184,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-28,SMD-0038,BHEL,NSE:BHEL-EQ,20.75,21.15,20.65,20.95,15589273,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-29,SMD-0038,BHEL,NSE:BHEL-EQ,21.0,21.35,20.85,20.95,19732808,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-04-30,SMD-0038,BHEL,NSE:BHEL-EQ,21.3,22.9,21.15,22.45,56261295,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-04,SMD-0038,BHEL,NSE:BHEL-EQ,21.7,24.85,20.9,23.5,145551747,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-05,SMD-0038,BHEL,NSE:BHEL-EQ,24.65,24.65,22.6,22.9,93124787,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-06,SMD-0038,BHEL,NSE:BHEL-EQ,23.05,23.4,22.75,23.0,48712402,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-07,SMD-0038,BHEL,NSE:BHEL-EQ,22.9,23.3,22.75,23.05,52088140,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-08,SMD-0038,BHEL,NSE:BHEL-EQ,23.35,23.5,21.8,22.2,43617439,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-11,SMD-0038,BHEL,NSE:BHEL-EQ,22.55,23.0,22.1,22.55,28661145,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-12,SMD-0038,BHEL,NSE:BHEL-EQ,22.4,22.4,21.4,21.5,42068839,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-13,SMD-0038,BHEL,NSE:BHEL-EQ,23.1,27.15,22.15,26.6,309686625,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-14,SMD-0038,BHEL,NSE:BHEL-EQ,26.9,29.25,25.0,27.45,247691248,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-15,SMD-0038,BHEL,NSE:BHEL-EQ,27.5,28.25,27.0,27.3,88425003,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-18,SMD-0038,BHEL,NSE:BHEL-EQ,27.7,28.45,25.85,26.05,90741401,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-19,SMD-0038,BHEL,NSE:BHEL-EQ,26.4,26.55,25.3,25.4,50209529,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-20,SMD-0038,BHEL,NSE:BHEL-EQ,25.1,26.6,25.0,25.95,59559198,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-21,SMD-0038,BHEL,NSE:BHEL-EQ,26.0,26.25,25.3,25.55,42189518,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-22,SMD-0038,BHEL,NSE:BHEL-EQ,25.4,25.55,24.15,24.55,43983080,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-26,SMD-0038,BHEL,NSE:BHEL-EQ,25.0,25.45,24.35,24.85,41219769,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-27,SMD-0038,BHEL,NSE:BHEL-EQ,25.25,25.35,24.75,25.2,38448153,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-28,SMD-0038,BHEL,NSE:BHEL-EQ,25.4,27.25,25.15,26.85,99120469,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-05-29,SMD-0038,BHEL,NSE:BHEL-EQ,26.8,28.45,26.15,28.0,105111176,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-06-01,SMD-0038,BHEL,NSE:BHEL-EQ,28.4,29.0,27.7,28.0,55554728,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-06-02,SMD-0038,BHEL,NSE:BHEL-EQ,28.2,28.55,27.45,28.0,40757502,FYERS_HISTORY,2026-08-08T23:04:29+05:30
2020-06-03,SMD-0038,BHEL,NSE:BHEL-EQ,28.2,28.75,27.4,27.7,48884155,FYERS_HISTORY,2026-08-08T23:04:29+05:30
