trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2012-12-28,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.33,47.63,46.8,47.24,136206,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2012-12-31,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.36,48.08,46.98,47.8,339942,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-01,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.0,48.38,47.69,48.22,209112,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-02,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.43,48.98,48.02,48.54,409678,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-03,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.98,49.41,48.37,49.03,404246,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-04,SMD-0039,BIOCON,NSE:BIOCON-EQ,49.03,49.48,48.32,48.59,197386,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-07,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.83,50.75,48.67,50.29,864542,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-08,SMD-0039,BIOCON,NSE:BIOCON-EQ,50.63,50.94,48.93,49.12,987512,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-09,SMD-0039,BIOCON,NSE:BIOCON-EQ,49.4,49.67,48.33,48.48,362418,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-10,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.57,49.15,47.69,48.07,271758,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-11,SMD-0039,BIOCON,NSE:BIOCON-EQ,48.19,48.32,46.92,47.08,204536,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-14,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.18,47.98,46.5,47.83,189688,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-15,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.83,48.1,47.33,47.6,153270,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-16,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.67,48.08,46.6,46.73,218518,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-17,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.83,47.24,46.7,46.9,119724,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-18,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.0,47.33,46.68,46.91,104848,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-21,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.01,47.42,46.68,46.78,168530,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-22,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.83,47.65,46.5,46.74,237430,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-23,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.75,47.33,45.78,46.29,219392,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-24,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.18,46.3,43.35,43.88,347686,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-25,SMD-0039,BIOCON,NSE:BIOCON-EQ,44.0,44.97,43.83,44.59,360350,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-28,SMD-0039,BIOCON,NSE:BIOCON-EQ,44.63,46.4,44.63,45.82,429010,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-29,SMD-0039,BIOCON,NSE:BIOCON-EQ,45.97,46.98,45.37,46.61,441588,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-30,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.67,47.39,46.53,47.21,328344,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-01-31,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.16,47.39,46.3,46.6,384596,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-01,SMD-0039,BIOCON,NSE:BIOCON-EQ,46.84,47.27,46.47,46.85,479714,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-04,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.02,47.11,45.42,45.63,266632,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-05,SMD-0039,BIOCON,NSE:BIOCON-EQ,45.63,47.28,45.35,46.98,706280,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-06,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.17,48.21,47.17,47.57,304536,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-07,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.67,48.17,46.83,47.49,472476,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-08,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.48,48.49,47.41,47.58,391668,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-11,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.87,47.97,46.86,47.29,191426,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-12,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.11,47.61,47.03,47.37,175494,FYERS_HISTORY,2026-08-08T23:04:40+05:30
2013-02-13,SMD-0039,BIOCON,NSE:BIOCON-EQ,47.31,48.12,47.04,47.41,132456,FYERS_HISTORY,2026-08-08T23:04:40+05:30
