trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.95,27.95,25.98,27.06,28858,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2004-12-31,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.0,27.0,26.38,26.92,17644,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-03,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.8,27.8,26.0,26.2,11244,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-04,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.21,26.7,26.2,26.34,9340,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-05,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.0,26.7,26.0,26.52,15524,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-06,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.4,26.4,26.0,26.21,9436,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-07,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.05,27.3,26.1,27.16,35408,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-10,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.65,27.65,26.52,27.27,13850,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-11,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,29.5,29.5,26.5,27.09,23384,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-12,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.8,27.8,26.9,27.29,20148,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-13,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.55,27.8,26.55,27.68,26206,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-14,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.74,27.74,27.0,27.16,8584,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-17,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.1,27.28,26.95,27.2,11068,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-18,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.71,27.7,26.71,27.49,10242,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-19,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.5,27.5,27.03,27.37,13988,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-20,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.13,27.3,27.0,27.08,20538,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-24,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.5,27.5,26.5,27.47,44746,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-25,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.05,27.6,27.05,27.51,22844,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-27,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.69,27.89,27.35,27.69,10080,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-28,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.8,27.8,27.5,27.58,11824,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-01-31,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.38,27.78,27.36,27.68,17484,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-01,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.9,28.1,27.75,27.97,23898,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-02,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.54,28.28,27.54,28.13,5846,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-03,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.75,28.2,27.7,28.02,7502,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-04,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,27.88,28.4,27.84,28.05,12866,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-07,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,28.15,28.15,26.66,27.63,20740,FYERS_HISTORY,2026-08-08T23:04:49+05:30
2005-02-08,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,26.6,28.63,26.6,28.11,11334,FYERS_HISTORY,2026-08-08T23:04:49+05:30
