trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-01-02,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,93.7,97.0,93.65,95.13,51172,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-03,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,96.0,98.0,94.9,97.15,79500,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-04,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,99.7,102.0,98.0,98.73,191510,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-05,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,99.6,101.95,97.5,99.15,105546,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-08,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,100.9,101.5,99.03,99.93,98478,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-09,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,101.43,106.0,99.05,103.73,197550,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-10,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,103.5,110.5,103.5,109.75,220542,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-11,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,111.0,119.45,109.0,113.43,489060,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-12,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,114.38,115.25,108.25,108.98,178196,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-15,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,110.5,114.0,109.5,112.65,149174,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-16,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,112.5,116.0,109.53,113.93,215840,FYERS_HISTORY,2026-08-08T23:04:50+05:30
2007-01-17,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,113.0,119.95,113.0,117.75,571884,FYERS_HISTORY,2026-08-08T23:04:50+05:30
