trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,394.43,397.5,387.5,389.18,140058,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2020-12-29,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,391.13,396.75,389.83,396.05,127160,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2020-12-30,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,398.85,402.5,395.0,400.78,171980,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2020-12-31,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,392.6,404.75,392.6,400.55,153596,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-01,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,404.75,404.75,398.53,403.33,162202,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-04,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,404.6,405.98,398.13,403.73,129174,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-05,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,402.5,414.4,397.53,408.63,555906,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-06,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,410.0,411.5,395.78,403.98,268896,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-07,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,403.55,409.95,395.0,399.0,123522,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-08,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,400.0,411.0,397.08,406.03,192902,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-11,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,409.48,409.48,400.0,402.98,146180,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-12,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,401.15,403.23,396.5,399.58,117178,FYERS_HISTORY,2026-08-08T23:04:59+05:30
2021-01-13,SMD-0040,BLUESTARCO,NSE:BLUESTARCO-EQ,401.05,402.38,386.18,395.65,219398,FYERS_HISTORY,2026-08-08T23:04:59+05:30
