trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1911.0,1920.0,1880.0,1894.75,4187,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2004-12-31,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1891.1,1924.0,1890.0,1905.8,6105,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-03,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,2024.4,2024.4,1900.0,1903.55,4541,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-04,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1970.0,1980.0,1905.0,1917.75,8153,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-05,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1930.0,1930.0,1880.0,1894.15,3740,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-06,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1900.0,1900.0,1816.0,1856.8,7046,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-07,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1900.0,1900.0,1805.0,1817.4,4469,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-10,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1889.9,1899.95,1831.0,1839.6,1907,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-11,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1815.0,1844.0,1790.0,1811.55,3715,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-12,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1844.0,1844.0,1755.0,1763.9,3079,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-13,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1825.0,1830.0,1775.0,1783.75,3405,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-14,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1791.0,1829.0,1785.0,1798.1,2511,FYERS_HISTORY,2026-08-08T23:05:06+05:30
2005-01-17,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,1825.0,1825.1,1750.0,1760.65,1919,FYERS_HISTORY,2026-08-08T23:05:06+05:30
